dt,dt_iso,city_id,city_name,lat,lon,temp,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,wind_deg,rain_1h,rain_3h,rain_24h,rain_today,snow_1h,snow_3h,snow_24h,snow_today,clouds_all,weather_id,weather_main,weather_description,weather_icon
1483228800,2017-01-01 00:00:00 +0000 UTC,2950159,,,,276.64,276.15,277.15,1023,,,86,4,240,,,,,,,,,90,804,Clouds,overcast clouds,04n
1483232400,2017-01-01 01:00:00 +0000 UTC,2950159,,,,276.13,275.15,277.15,1022,,,86,3,220,,,,,,,,,75,803,Clouds,broken clouds,04n
1483236000,2017-01-01 02:00:00 +0000 UTC,2950159,,,,275.99,275.15,277.15,1022,,,86,3,230,,,,,,,,,90,804,Clouds,overcast clouds,04n
1483239600,2017-01-01 03:00:00 +0000 UTC,2950159,,,,276.13,275.15,277.15,1021,,,80,4,230,,,,,,,,,90,804,Clouds,overcast clouds,04n
1483243200,2017-01-01 04:00:00 +0000 UTC,2950159,,,,276.13,275.15,277.15,1020,,,80,4,240,,,,,,,,,90,804,Clouds,overcast clouds,04n
1483246800,2017-01-01 05:00:00 +0000 UTC,2950159,,,,276.13,275.15,277.15,1019,,,80,3,230,,,,,,,,,90,804,Clouds,overcast clouds,04n
1483250400,2017-01-01 06:00:00 +0000 UTC,2950159,,,,276.13,275.15,277.15,1019,,,80,3,220,,,,,,,,,90,804,Clouds,overcast clouds,04n
1483254000,2017-01-01 07:00:00 +0000 UTC,2950159,,,,275.13,274.15,276.15,1018,,,86,3,210,,,,,,,,,75,803,Clouds,broken clouds,04n
1483257600,2017-01-01 08:00:00 +0000 UTC,2950159,,,,274.62,273.15,276.15,1018,,,88,4,220,,,,,,,,,75,803,Clouds,broken clouds,04d
1483261200,2017-01-01 09:00:00 +0000 UTC,2950159,,,,274.62,273.15,276.15,1018,,,86,5,240,,,,,,,,,75,803,Clouds,broken clouds,04d
