Station;010 Wedding;042 Neukölln;117 Schildhornstraße;174 Frankfurter Allee
Messkomponente;Toluol;Toluol;Toluol;Toluol
Einheit;µg/m³;µg/m³;µg/m³;µg/m³
Messzeit;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte

01.01.2017 00:00;1;1;1;2
01.01.2017 01:00;;1;2;2
01.01.2017 02:00;;1;4;2
01.01.2017 03:00;;1;2;1
01.01.2017 04:00;;1;2;2
01.01.2017 05:00;;1;1;4
01.01.2017 06:00;;1;1;1
01.01.2017 07:00;;1;3;1
01.01.2017 08:00;;1;1;1
01.01.2017 09:00;;1;2;1
01.01.2017 10:00;;1;1;1
01.01.2017 11:00;;1;2;2
01.01.2017 12:00;;1;2;1
01.01.2017 13:00;;1;3;2
01.01.2017 14:00;;1;3;2
01.01.2017 15:00;;1;3;2
01.01.2017 16:00;;2;4;1
01.01.2017 17:00;;1;3;2
01.01.2017 18:00;;1;3;2
01.01.2017 19:00;;1;2;2
01.01.2017 20:00;;2;2;2
01.01.2017 21:00;;1;2;2
01.01.2017 22:00;;1;2;1
01.01.2017 23:00;;1;2;2
02.01.2017 00:00;;1;3;1
02.01.2017 01:00;;1;1;1
02.01.2017 02:00;;1;1;1
02.01.2017 03:00;;1;1;1
02.01.2017 04:00;;1;1;1
02.01.2017 05:00;;1;2;1
02.01.2017 06:00;;1;3;1
02.01.2017 07:00;;1;2;2
02.01.2017 08:00;;1;2;2
02.01.2017 09:00;;1;3;2
02.01.2017 10:00;;2;3;3
02.01.2017 11:00;;2;4;2
02.01.2017 12:00;;2;4;2
02.01.2017 13:00;;2;2;2
02.01.2017 14:00;;2;3;2
02.01.2017 15:00;;2;2;2
02.01.2017 16:00;;2;7;2
02.01.2017 17:00;;2;4;2
02.01.2017 18:00;;3;4;3
02.01.2017 19:00;;2;3;3
02.01.2017 20:00;;2;3;3
02.01.2017 21:00;;2;3;2
02.01.2017 22:00;;2;1;3
02.01.2017 23:00;;1;1;2
03.01.2017 00:00;;1;1;3
03.01.2017 01:00;;1;1;2
03.01.2017 02:00;;1;1;1
03.01.2017 03:00;;1;1;1
03.01.2017 04:00;;1;1;0
03.01.2017 05:00;;0;1;1
03.01.2017 06:00;;0;2;0
03.01.2017 07:00;;0;2;1
03.01.2017 08:00;;1;2;2
03.01.2017 09:00;;2;2;2
03.01.2017 10:00;;1;2;2
03.01.2017 11:00;;1;2;2
03.01.2017 12:00;;1;2;2
03.01.2017 13:00;;1;1;2
03.01.2017 14:00;;1;1;3
03.01.2017 15:00;;1;1;2
03.01.2017 16:00;;2;3;3
03.01.2017 17:00;;1;2;2
03.01.2017 18:00;;1;1;2
03.01.2017 19:00;;1;2;1
03.01.2017 20:00;;1;1;1
03.01.2017 21:00;;1;1;1
03.01.2017 22:00;;1;1;1
03.01.2017 23:00;;1;1;1
04.01.2017 00:00;;1;2;1
04.01.2017 01:00;;1;1;1
04.01.2017 02:00;;1;1;1
04.01.2017 03:00;;1;1;1
04.01.2017 04:00;;0;1;0
04.01.2017 05:00;;0;1;0
04.01.2017 06:00;;0;3;1
04.01.2017 07:00;;0;1;1
04.01.2017 08:00;;0;2;2
04.01.2017 09:00;;2;2;4
04.01.2017 10:00;;1;1;2
04.01.2017 11:00;;1;2;1
04.01.2017 12:00;;1;1;2
04.01.2017 13:00;;1;2;2
04.01.2017 14:00;;1;2;1
04.01.2017 15:00;;1;1;1
04.01.2017 16:00;;1;2;1
04.01.2017 17:00;;3;2;1
04.01.2017 18:00;;3;1;1
04.01.2017 19:00;;1;1;1
04.01.2017 20:00;;2;1;1
04.01.2017 21:00;;1;1;1
04.01.2017 22:00;;1;1;1
04.01.2017 23:00;;4;2;1
05.01.2017 00:00;;1;1;0
05.01.2017 01:00;;1;1;1
05.01.2017 02:00;;0;1;0
05.01.2017 03:00;;0;1;1
05.01.2017 04:00;;0;0;0
05.01.2017 05:00;;0;0;0
05.01.2017 06:00;;1;1;0
05.01.2017 07:00;;0;1;1
05.01.2017 08:00;;1;1;1
05.01.2017 09:00;;2;1;1
05.01.2017 10:00;;2;1;1
05.01.2017 11:00;;1;1;1
05.01.2017 12:00;;1;2;1
05.01.2017 13:00;;1;1;1
05.01.2017 14:00;;1;1;0
05.01.2017 15:00;;;1;1
05.01.2017 16:00;;1;1;
05.01.2017 17:00;;1;1;1
05.01.2017 18:00;;1;1;1
05.01.2017 19:00;;1;2;2
05.01.2017 20:00;;1;1;1
05.01.2017 21:00;;1;1;1
05.01.2017 22:00;;1;1;1
05.01.2017 23:00;;1;1;1
