Station;088 Messwagen Leipziger Str.;117 Schildhornstraße;174 Frankfurter Allee
Messkomponente;Kohlenstoffmonoxid;Kohlenstoffmonoxid;Kohlenstoffmonoxid
Einheit;mg/m³;mg/m³;mg/m³
Messzeit;Stundenwerte;Stundenwerte;Stundenwerte

01.01.2017 00:00;;0.4;0.4
01.01.2017 01:00;;0.8;0.8
01.01.2017 02:00;;0.5;0.5
01.01.2017 03:00;;0.4;0.3
01.01.2017 04:00;;0.3;0.4
01.01.2017 05:00;;0.3;0.3
01.01.2017 06:00;;0.3;0.3
01.01.2017 07:00;;0.3;0.3
01.01.2017 08:00;;0.3;0.3
01.01.2017 09:00;;0.3;0.4
01.01.2017 10:00;;0.3;0.3
01.01.2017 11:00;;0.3;0.3
01.01.2017 12:00;;0.4;0.5
01.01.2017 13:00;;0.4;0.3
01.01.2017 14:00;;0.4;0.4
01.01.2017 15:00;;0.5;0.4
01.01.2017 16:00;;0.5;0.4
01.01.2017 17:00;;0.5;0.5
01.01.2017 18:00;;0.6;0.5
01.01.2017 19:00;;0.5;0.5
01.01.2017 20:00;;0.4;0.5
01.01.2017 21:00;;0.5;0.5
01.01.2017 22:00;;0.5;0.4
01.01.2017 23:00;;0.4;0.4
02.01.2017 00:00;;0.4;0.4
02.01.2017 01:00;;0.4;0.4
02.01.2017 02:00;;0.4;0.4
02.01.2017 03:00;;0.4;0.4
02.01.2017 04:00;;0.4;0.4
02.01.2017 05:00;;0.4;0.4
02.01.2017 06:00;;0.5;0.5
02.01.2017 07:00;;0.5;0.5
02.01.2017 08:00;;0.5;0.5
02.01.2017 09:00;;0.5;0.7
02.01.2017 10:00;;0.5;0.5
02.01.2017 11:00;;0.5;0.5
02.01.2017 12:00;;0.5;0.5
02.01.2017 13:00;;0.4;0.4
02.01.2017 14:00;;0.5;0.4
02.01.2017 15:00;;0.4;0.3
02.01.2017 16:00;;0.6;0.4
02.01.2017 17:00;;0.6;0.5
02.01.2017 18:00;;0.6;0.5
02.01.2017 19:00;;0.5;0.6
02.01.2017 20:00;;0.4;0.4
02.01.2017 21:00;;0.3;0.5
02.01.2017 22:00;;0.3;0.4
02.01.2017 23:00;;0.3;0.4
03.01.2017 00:00;;0.3;0.3
03.01.2017 01:00;;0.2;0.3
03.01.2017 02:00;;0.2;0.3
03.01.2017 03:00;;0.2;0.2
03.01.2017 04:00;;0.2;0.2
03.01.2017 05:00;;0.3;0.2
03.01.2017 06:00;;0.3;0.3
03.01.2017 07:00;;0.4;0.4
03.01.2017 08:00;;0.4;0.4
03.01.2017 09:00;;0.3;0.4
03.01.2017 10:00;;0.3;0.4
03.01.2017 11:00;;0.3;0.4
03.01.2017 12:00;;0.3;0.4
03.01.2017 13:00;;0.3;0.4
03.01.2017 14:00;;0.3;0.4
03.01.2017 15:00;;0.3;0.4
03.01.2017 16:00;;0.4;0.4
03.01.2017 17:00;;0.3;0.4
03.01.2017 18:00;;0.4;0.4
03.01.2017 19:00;;0.3;0.4
03.01.2017 20:00;;0.3;0.3
03.01.2017 21:00;;0.3;0.3
03.01.2017 22:00;;0.3;0.3
03.01.2017 23:00;;0.3;0.3
04.01.2017 00:00;;0.3;0.3
04.01.2017 01:00;;0.3;0.3
04.01.2017 02:00;;0.2;0.2
04.01.2017 03:00;;0.2;0.2
04.01.2017 04:00;;0.2;0.2
04.01.2017 05:00;;0.2;0.2
04.01.2017 06:00;;0.2;0.2
04.01.2017 07:00;;0.2;0.3
04.01.2017 08:00;;0.3;0.4
04.01.2017 09:00;;0.3;0.4
04.01.2017 10:00;;0.3;0.4
04.01.2017 11:00;;0.3;0.3
04.01.2017 12:00;;0.3;0.3
04.01.2017 13:00;;0.3;0.3
04.01.2017 14:00;;0.3;0.3
04.01.2017 15:00;;0.3;0.3
04.01.2017 16:00;;0.4;0.3
04.01.2017 17:00;;0.3;0.3
04.01.2017 18:00;;0.3;0.2
04.01.2017 19:00;;0.3;0.3
04.01.2017 20:00;;0.3;0.3
04.01.2017 21:00;;0.3;0.2
04.01.2017 22:00;;0.2;0.2
04.01.2017 23:00;;0.2;0.2
05.01.2017 00:00;;0.2;0.3
05.01.2017 01:00;;0.2;0.2
05.01.2017 02:00;;0.2;0.2
05.01.2017 03:00;;0.2;0.2
05.01.2017 04:00;;0.2;0.2
05.01.2017 05:00;;0.2;0.2
