Station;027 Marienfelde;032 Grunewald;077 Buch;085 Friedrichshagen;145 Frohnau
Messkomponente;Stickstoffdioxid;Stickstoffdioxid;Stickstoffdioxid;Stickstoffdioxid;Stickstoffdioxid
Einheit;µg/m³;µg/m³;µg/m³;µg/m³;µg/m³
Messzeit;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte

01.01.2017 00:00;9;9;29;12;16
01.01.2017 01:00;11;20;37;12;17
01.01.2017 02:00;15;18;48;16;19
01.01.2017 03:00;17;15;31;17;11
01.01.2017 04:00;15;12;26;16;9
01.01.2017 05:00;13;12;24;17;7
01.01.2017 06:00;16;12;21;18;8
01.01.2017 07:00;18;16;24;16;9
01.01.2017 08:00;18;15;23;17;9
01.01.2017 09:00;19;15;21;17;9
01.01.2017 10:00;17;12;22;18;8
01.01.2017 11:00;16;16;21;16;7
01.01.2017 12:00;14;15;19;14;8
01.01.2017 13:00;16;12;12;16;9
01.01.2017 14:00;16;12;12;19;11
01.01.2017 15:00;18;13;15;23;13
01.01.2017 16:00;21;14;17;26;15
01.01.2017 17:00;26;20;28;27;16
01.01.2017 18:00;26;30;39;26;16
01.01.2017 19:00;29;30;40;29;17
01.01.2017 20:00;30;40;40;30;18
01.01.2017 21:00;29;37;42;29;20
01.01.2017 22:00;30;33;43;31;24
01.01.2017 23:00;34;28;33;32;25
02.01.2017 00:00;33;24;18;34;18
02.01.2017 01:00;27;26;21;35;25
02.01.2017 02:00;27;28;28;32;28
02.01.2017 03:00;27;26;28;31;28
02.01.2017 04:00;25;23;27;32;25
02.01.2017 05:00;24;22;26;30;24
02.01.2017 06:00;24;20;;29;24
02.01.2017 07:00;23;18;25;30;22
02.01.2017 08:00;24;17;22;31;20
02.01.2017 09:00;22;16;21;32;19
02.01.2017 10:00;20;13;18;31;14
02.01.2017 11:00;17;10;15;33;13
02.01.2017 12:00;13;7;15;26;10
02.01.2017 13:00;13;7;12;30;11
02.01.2017 14:00;13;7;8;22;9
02.01.2017 15:00;15;7;5;16;11
02.01.2017 16:00;19;6;5;18;11
02.01.2017 17:00;24;7;9;26;20
02.01.2017 18:00;31;7;12;35;29
02.01.2017 19:00;25;10;21;40;38
02.01.2017 20:00;18;9;32;57;35
02.01.2017 21:00;17;10;24;55;20
02.01.2017 22:00;26;12;18;30;16
02.01.2017 23:00;22;12;17;26;19
03.01.2017 00:00;16;13;16;26;14
03.01.2017 01:00;17;14;15;22;12
03.01.2017 02:00;14;11;12;19;9
03.01.2017 03:00;9;7;8;14;8
03.01.2017 04:00;7;5;6;11;7
03.01.2017 05:00;7;4;8;10;5
03.01.2017 06:00;6;4;7;11;7
03.01.2017 07:00;8;4;7;15;7
03.01.2017 08:00;10;5;10;16;9
03.01.2017 09:00;11;5;9;16;8
03.01.2017 10:00;10;5;9;16;6
03.01.2017 11:00;9;6;8;16;5
03.01.2017 12:00;10;7;10;15;5
03.01.2017 13:00;12;8;26;15;7
03.01.2017 14:00;13;10;29;18;9
03.01.2017 15:00;13;11;28;17;10
03.01.2017 16:00;15;10;30;22;11
03.01.2017 17:00;13;11;26;20;10
03.01.2017 18:00;11;11;12;16;10
03.01.2017 19:00;13;11;11;12;10
03.01.2017 20:00;15;15;13;14;12
03.01.2017 21:00;15;16;17;14;16
03.01.2017 22:00;17;19;17;16;17
03.01.2017 23:00;18;19;17;19;17
04.01.2017 00:00;18;18;16;20;16
04.01.2017 01:00;17;17;15;18;15
04.01.2017 02:00;16;14;12;17;12
04.01.2017 03:00;13;11;7;13;5
04.01.2017 04:00;3;1;2;5;3
04.01.2017 05:00;3;1;3;6;3
04.01.2017 06:00;3;1;3;6;4
04.01.2017 07:00;6;2;5;9;5
04.01.2017 08:00;7;2;13;12;4
04.01.2017 09:00;5;2;26;12;6
04.01.2017 10:00;5;2;14;9;5
04.01.2017 11:00;5;2;21;10;3
04.01.2017 12:00;5;2;26;10;3
04.01.2017 13:00;5;2;20;11;3
04.01.2017 14:00;5;2;18;13;4
