Station;088 Messwagen Leipziger Str.;115 Hardenbergplatz;117 Schildhornstraße;124 Mariendorfer Damm;143 Silbersteinstraße;174 Frankfurter Allee;220 Karl-Marx-Straße
Messkomponente;Stickstoffdioxid;Stickstoffdioxid;Stickstoffdioxid;Stickstoffdioxid;Stickstoffdioxid;Stickstoffdioxid;Stickstoffdioxid
Einheit;µg/m³;µg/m³;µg/m³;µg/m³;µg/m³;µg/m³;µg/m³
Messzeit;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte

01.01.2017 00:00;;35;40;31;47;39;41
01.01.2017 01:00;;50;57;51;56;54;54
01.01.2017 02:00;;49;48;46;66;42;58
01.01.2017 03:00;;38;41;40;51;29;49
01.01.2017 04:00;;28;30;36;54;30;41
01.01.2017 05:00;;25;32;27;45;31;43
01.01.2017 06:00;;31;29;26;47;31;37
01.01.2017 07:00;;31;26;28;38;29;37
01.01.2017 08:00;;28;31;28;35;28;33
01.01.2017 09:00;;28;29;28;41;28;32
01.01.2017 10:00;;29;33;27;40;28;32
01.01.2017 11:00;;34;30;28;35;29;31
01.01.2017 12:00;;36;38;32;40;31;32
01.01.2017 13:00;;47;35;34;43;30;38
01.01.2017 14:00;;52;44;39;52;37;45
01.01.2017 15:00;;54;48;46;49;39;50
01.01.2017 16:00;;60;53;45;48;42;51
01.01.2017 17:00;;62;52;49;57;43;54
01.01.2017 18:00;;57;51;49;58;43;56
01.01.2017 19:00;;56;51;50;58;44;56
01.01.2017 20:00;;58;48;50;53;45;56
01.01.2017 21:00;;54;48;51;56;44;54
01.01.2017 22:00;;51;46;48;53;45;53
01.01.2017 23:00;;43;42;46;52;49;53
02.01.2017 00:00;;33;30;44;41;38;42
02.01.2017 01:00;;32;30;37;33;40;37
02.01.2017 02:00;;33;31;33;34;40;37
02.01.2017 03:00;;33;29;32;34;41;35
02.01.2017 04:00;;31;29;35;31;37;33
02.01.2017 05:00;;34;37;32;31;36;31
02.01.2017 06:00;;33;39;42;34;45;38
02.01.2017 07:00;;36;54;50;38;52;47
02.01.2017 08:00;;40;45;51;38;53;44
