Station;010 Wedding;018 Schöneberg;027 Marienfelde;032 Grunewald;042 Neukölln;077 Buch;085 Friedrichshagen;088 Messwagen Leipziger Str.;115 Hardenbergplatz;117 Schildhornstraße;124 Mariendorfer Damm;143 Silbersteinstraße;145 Frohnau;171 Mitte;174 Frankfurter Allee;220 Karl-Marx-Straße;282 Karlshorst
Messkomponente;Stickstoffmonoxid;Stickstoffmonoxid;Stickstoffmonoxid;Stickstoffmonoxid;Stickstoffmonoxid;Stickstoffmonoxid;Stickstoffmonoxid;Stickstoffmonoxid;Stickstoffmonoxid;Stickstoffmonoxid;Stickstoffmonoxid;Stickstoffmonoxid;Stickstoffmonoxid;Stickstoffmonoxid;Stickstoffmonoxid;Stickstoffmonoxid;Stickstoffmonoxid
Einheit;µg/m³;µg/m³;µg/m³;µg/m³;µg/m³;µg/m³;µg/m³;µg/m³;µg/m³;µg/m³;µg/m³;µg/m³;µg/m³;µg/m³;µg/m³;µg/m³;µg/m³
Messzeit;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte

01.01.2017 00:00;4;2;0;0;4;1;1;;19;27;21;99;0;2;17;26;1
01.01.2017 01:00;19;24;0;0;21;3;1;;39;210;138;121;1;46;173;60;23
01.01.2017 02:00;6;7;0;0;7;4;1;;26;36;42;76;1;26;18;62;4
01.01.2017 03:00;;3;0;0;3;1;1;;25;32;41;45;0;3;10;59;2
01.01.2017 04:00;;1;0;0;3;0;1;;16;14;33;46;0;1;9;41;2
01.01.2017 05:00;3;2;0;0;2;1;1;;10;18;18;32;0;1;10;45;2
01.01.2017 06:00;3;1;1;0;2;1;1;;22;13;16;35;0;1;12;32;1
01.01.2017 07:00;3;1;1;0;2;1;1;;20;12;15;24;0;1;9;45;3
01.01.2017 08:00;3;2;1;0;2;1;1;;12;17;12;16;0;1;6;17;2
01.01.2017 09:00;3;3;1;0;2;1;1;;14;12;12;20;0;1;9;17;3
01.01.2017 10:00;3;4;2;0;4;2;2;;17;17;14;18;1;2;8;25;3
01.01.2017 11:00;4;6;3;1;5;2;3;;26;18;17;22;1;5;14;21;6
01.01.2017 12:00;4;4;3;1;4;2;4;;31;25;24;41;1;3;20;23;7
01.01.2017 13:00;4;5;2;0;4;1;3;;45;21;27;28;1;3;9;28;4
01.01.2017 14:00;4;4;1;0;5;1;2;;44;29;32;42;1;3;12;38;3
01.01.2017 15:00;4;4;1;0;6;1;1;;50;31;40;37;1;4;11;42;3
01.01.2017 16:00;4;4;1;0;7;1;1;;49;36;37;31;0;2;11;50;2
01.01.2017 17:00;8;4;1;0;6;1;1;;50;38;44;51;0;1;11;50;3
01.01.2017 18:00;10;7;1;0;6;1;1;;55;38;41;59;1;2;16;53;6
01.01.2017 19:00;7;4;1;0;6;1;1;;48;33;39;60;1;2;12;54;4
01.01.2017 20:00;10;5;0;1;6;1;1;;50;27;43;51;0;3;15;51;5
01.01.2017 21:00;10;5;0;0;7;1;1;;41;26;47;50;0;3;12;41;4
01.01.2017 22:00;6;4;1;0;6;2;0;;29;21;35;36;1;3;11;42;3
01.01.2017 23:00;5;3;1;0;6;1;0;;18;13;32;35;1;3;19;39;3
02.01.2017 00:00;3;2;1;0;3;1;1;;11;9;24;11;1;3;15;32;2
02.01.2017 01:00;2;2;1;0;3;1;1;;8;7;17;4;0;3;15;20;2
02.01.2017 02:00;4;1;1;1;3;1;1;;7;4;13;3;0;3;14;17;2
02.01.2017 03:00;5;1;1;1;4;1;1;;8;3;9;8;0;3;18;17;3
02.01.2017 04:00;;2;1;1;4;1;1;;10;8;24;5;0;3;14;10;3
02.01.2017 05:00;;2;1;0;4;1;1;;13;25;21;8;0;3;18;15;3
02.01.2017 06:00;5;3;1;0;5;;1;;18;36;51;16;0;5;43;30;4
02.01.2017 07:00;7;8;1;0;9;1;2;;31;73;83;32;1;8;74;64;7
02.01.2017 08:00;5;6;1;0;12;1;3;;34;56;85;27;1;14;88;66;5
02.01.2017 09:00;16;7;1;1;17;1;4;;51;73;110;28;1;10;119;83;6
02.01.2017 10:00;8;8;2;1;11;1;5;;39;53;86;26;1;11;77;116;9
02.01.2017 11:00;11;9;2;1;13;1;6;;32;62;125;28;1;9;64;103;9
02.01.2017 12:00;10;10;2;1;15;1;6;;28;66;110;33;1;7;76;107;9
02.01.2017 13:00;7;7;2;1;15;1;5;;29;64;111;39;1;6;58;108;6
02.01.2017 14:00;6;6;2;0;8;1;2;;28;77;103;16;1;5;41;119;4
02.01.2017 15:00;4;5;1;1;7;0;2;;19;46;103;26;1;5;16;62;4
02.01.2017 16:00;6;5;1;0;8;0;1;;22;82;112;17;0;3;30;112;4
02.01.2017 17:00;8;5;1;0;7;0;1;;15;82;146;17;0;7;54;161;5
02.01.2017 18:00;3;5;1;0;8;0;1;;23;80;152;19;1;3;60;154;5
02.01.2017 19:00;12;6;1;0;10;0;2;;30;74;165;31;1;4;70;145;5
02.01.2017 20:00;2;4;1;0;12;1;6;;43;52;113;26;2;3;47;116;8
02.01.2017 21:00;13;3;1;0;10;0;8;;31;32;77;24;1;4;64;73;5
02.01.2017 22:00;7;2;0;0;12;0;1;;21;25;51;52;0;3;43;56;4
02.01.2017 23:00;4;1;0;0;4;0;1;;19;17;46;40;0;2;18;42;2
03.01.2017 00:00;2;1;0;0;3;0;0;;13;11;28;21;0;2;13;37;2
03.01.2017 01:00;3;1;0;0;2;0;0;;13;7;16;10;0;1;8;20;1
03.01.2017 02:00;1;1;0;0;2;0;0;;6;4;11;7;0;2;7;15;1
03.01.2017 03:00;1;1;0;0;2;0;0;;6;3;10;2;0;1;13;15;1
03.01.2017 04:00;0;1;0;0;2;0;0;;6;6;16;5;0;1;11;18;1
03.01.2017 05:00;;1;0;0;2;0;0;;8;8;18;4;0;1;13;14;1
03.01.2017 06:00;;1;0;0;2;0;0;;16;31;38;6;0;1;28;25;2
03.01.2017 07:00;4;1;2;0;3;0;0;;18;44;66;15;0;2;70;52;3
03.01.2017 08:00;4;1;1;0;4;0;1;;27;41;71;18;0;3;74;93;3
03.01.2017 09:00;4;2;0;0;5;0;1;;26;44;58;18;0;4;75;111;3
03.01.2017 10:00;10;3;0;0;5;0;1;;36;45;60;17;0;6;67;69;2
03.01.2017 11:00;9;3;0;0;5;0;1;;27;33;65;24;0;3;62;76;3
03.01.2017 12:00;8;24;0;0;7;7;1;;29;30;84;35;0;3;51;86;3
03.01.2017 13:00;7;3;0;0;6;47;1;;26;27;55;42;0;4;46;95;3
03.01.2017 14:00;6;3;0;0;6;56;3;;23;24;55;62;0;3;36;88;3
03.01.2017 15:00;6;3;0;0;6;51;1;;31;31;64;67;0;3;40;90;3
03.01.2017 16:00;7;3;0;0;6;54;1;;21;34;61;50;0;3;48;98;3
03.01.2017 17:00;5;3;0;0;4;45;0;;24;28;46;42;0;2;48;90;2
03.01.2017 18:00;6;2;0;0;4;1;0;;23;27;44;36;0;2;29;86;2
03.01.2017 19:00;4;2;0;0;5;0;0;;16;20;36;34;0;1;21;63;2
03.01.2017 20:00;4;2;0;0;6;0;0;;17;18;35;36;0;1;10;42;1
03.01.2017 21:00;3;2;0;0;3;0;0;;14;14;23;20;0;1;9;33;1
03.01.2017 22:00;3;1;0;0;3;0;0;;11;8;17;12;0;1;12;23;1
03.01.2017 23:00;3;1;0;0;3;0;0;;8;7;17;10;0;1;10;24;1
04.01.2017 00:00;3;0;0;0;2;0;0;;8;4;14;6;0;1;6;15;1
04.01.2017 01:00;1;0;0;0;1;0;0;;5;3;9;4;0;1;3;9;1
04.01.2017 02:00;1;0;0;0;1;0;0;;3;2;3;4;0;1;3;7;1
04.01.2017 03:00;3;0;0;0;1;0;0;;3;1;4;1;0;1;4;8;2
04.01.2017 04:00;1;0;0;0;1;0;0;;3;2;8;2;0;0;3;7;1
04.01.2017 05:00;2;0;0;0;1;0;0;;7;8;10;2;1;0;7;5;1
04.01.2017 06:00;3;0;0;0;1;0;0;;5;18;19;3;1;0;22;16;1
04.01.2017 07:00;4;1;0;0;2;0;0;;14;36;37;10;0;1;47;35;2
04.01.2017 08:00;4;1;0;0;4;20;0;;17;40;70;11;1;2;57;52;3
04.01.2017 09:00;4;1;0;0;4;54;0;;15;34;53;11;0;2;72;58;2
04.01.2017 10:00;5;1;0;0;3;32;0;;18;24;38;8;1;2;67;48;2
04.01.2017 11:00;5;1;0;0;3;39;0;;16;29;46;12;1;3;47;51;3
04.01.2017 12:00;9;1;0;0;3;47;0;;18;31;46;9;1;4;50;58;4
04.01.2017 13:00;8;2;0;0;4;36;0;;18;37;47;18;1;3;37;56;4
04.01.2017 14:00;3;2;0;0;4;26;0;;13;25;51;11;1;3;28;54;3
04.01.2017 15:00;3;2;0;0;7;5;0;;10;21;60;8;1;3;23;79;4
04.01.2017 16:00;7;4;0;0;9;0;0;;12;48;83;15;1;3;22;140;3
04.01.2017 17:00;2;1;0;0;8;0;0;;11;15;70;12;0;3;8;66;3
04.01.2017 18:00;1;1;0;0;4;0;0;;13;14;53;13;1;2;7;24;3
04.01.2017 19:00;1;1;0;0;4;0;0;;12;10;58;6;1;2;7;35;4
04.01.2017 20:00;1;1;0;0;4;0;0;;10;19;53;7;1;1;4;41;2
04.01.2017 21:00;2;1;0;0;4;0;0;;10;12;47;6;1;1;3;39;1
04.01.2017 22:00;;1;0;0;6;0;0;;8;11;34;4;0;1;2;23;1
04.01.2017 23:00;;0;0;0;2;0;0;;6;6;30;5;1;1;1;5;1
05.01.2017 00:00;0;0;0;0;3;0;0;;7;5;17;5;1;0;1;6;1
05.01.2017 01:00;0;1;0;0;1;0;0;;6;1;8;3;1;0;1;6;1
05.01.2017 02:00;0;1;0;0;1;0;0;;9;0;4;4;0;1;1;4;1
05.01.2017 03:00;0;1;0;0;1;0;0;;2;0;4;4;1;1;1;5;0
05.01.2017 04:00;0;1;0;0;1;0;1;;4;0;9;4;1;1;1;5;0
05.01.2017 05:00;0;1;0;0;1;0;0;;7;3;12;4;0;1;1;6;1
05.01.2017 06:00;0;1;1;0;16;0;0;;6;4;31;6;0;1;3;5;1
05.01.2017 07:00;1;2;1;0;4;0;1;;16;7;53;19;0;2;10;8;2
05.01.2017 08:00;1;3;0;0;6;6;1;;18;10;77;18;0;5;12;20;5
05.01.2017 09:00;1;4;1;0;12;2;1;;16;9;80;23;0;9;18;18;3
05.01.2017 10:00;2;5;2;0;8;1;1;;26;8;59;41;0;7;9;15;2
05.01.2017 11:00;1;4;1;0;4;1;1;;31;9;37;33;;16;13;14;3
05.01.2017 12:00;1;5;2;0;4;6;1;;32;9;25;34;;9;11;17;3
05.01.2017 13:00;1;4;1;1;4;4;1;;22;8;45;21;0;6;7;17;2
05.01.2017 14:00;1;4;1;0;2;1;1;;28;10;36;25;0;2;8;15;2
05.01.2017 15:00;1;3;1;0;3;1;1;;24;6;27;27;0;2;5;13;2
05.01.2017 16:00;1;3;0;0;4;1;1;;19;7;39;24;0;2;10;16;3
05.01.2017 17:00;0;2;0;0;4;0;1;;23;8;38;37;0;4;9;21;2
05.01.2017 18:00;0;2;0;0;5;0;0;;17;7;53;20;0;3;9;20;2
05.01.2017 19:00;0;2;0;0;4;0;1;;26;8;52;18;0;3;6;21;2
05.01.2017 20:00;1;2;0;0;3;0;0;;21;6;55;14;0;2;5;13;1
05.01.2017 21:00;0;2;0;0;3;0;1;;20;5;47;13;0;2;4;10;1
05.01.2017 22:00;0;2;0;0;3;0;0;;11;5;35;7;0;2;3;9;1
05.01.2017 23:00;;2;0;0;4;0;1;;17;3;35;9;0;1;2;12;0
06.01.2017 00:00;;2;0;0;1;0;0;;14;2;15;4;0;1;2;6;0
06.01.2017 01:00;0;1;0;0;1;0;0;;8;2;12;4;0;1;1;4;0
06.01.2017 02:00;2;1;0;0;2;0;1;;6;1;7;3;0;1;1;6;0
06.01.2017 03:00;1;1;0;0;15;0;0;;6;2;12;5;0;1;1;4;0
06.01.2017 04:00;0;1;0;0;2;0;0;;8;5;11;4;0;1;1;5;1
06.01.2017 05:00;1;1;0;0;2;0;0;;7;35;20;3;0;1;3;3;1
06.01.2017 06:00;0;1;3;0;2;0;0;;8;6;52;7;0;1;5;5;4
06.01.2017 07:00;5;2;1;0;5;0;0;;17;64;109;14;0;4;11;11;5
06.01.2017 08:00;16;3;5;0;8;4;1;;26;111;182;17;0;7;15;25;9
06.01.2017 09:00;12;8;11;1;16;6;4;;36;127;175;24;0;11;26;28;8
06.01.2017 10:00;17;18;19;1;18;4;10;;45;130;143;27;2;19;23;36;12
06.01.2017 11:00;14;22;13;2;16;4;5;;38;55;127;36;2;15;19;45;9
06.01.2017 12:00;8;17;14;2;14;8;4;;42;67;137;53;1;12;21;66;8
06.01.2017 13:00;16;15;15;2;13;1;2;;34;57;129;57;1;10;23;73;6
06.01.2017 14:00;12;13;8;1;9;0;2;;42;77;149;74;1;11;22;92;6
06.01.2017 15:00;13;8;4;1;9;0;1;;;82;178;49;1;9;14;127;4
06.01.2017 16:00;12;9;2;0;12;3;3;;38;103;172;38;1;8;53;151;4
06.01.2017 17:00;8;5;0;0;19;4;7;;46;96;183;53;0;4;67;152;5
06.01.2017 18:00;14;4;0;0;13;0;4;;36;85;153;34;0;3;62;151;6
06.01.2017 19:00;6;5;0;0;14;3;3;;41;74;152;42;0;3;45;136;6
06.01.2017 20:00;2;8;0;0;9;2;2;;24;68;162;88;0;7;30;111;5
06.01.2017 21:00;3;7;0;0;17;1;4;;35;58;148;77;0;3;48;104;16
06.01.2017 22:00;9;3;3;0;37;1;23;;39;47;136;32;0;14;53;64;24
06.01.2017 23:00;34;1;8;0;23;4;11;;47;77;117;117;0;9;79;70;32
07.01.2017 00:00;;33;7;29;24;4;11;;67;62;75;88;0;13;52;67;39
07.01.2017 01:00;;22;0;14;26;9;4;;42;30;43;59;7;21;57;56;43
07.01.2017 02:00;6;7;0;1;6;14;0;;20;15;32;38;6;3;28;34;33
07.01.2017 03:00;2;1;0;0;3;7;0;;14;7;19;24;0;1;15;31;24
07.01.2017 04:00;2;0;0;0;2;1;0;;11;9;18;25;0;1;10;20;7
07.01.2017 05:00;2;0;1;0;2;1;0;;16;12;15;20;0;1;7;18;2
07.01.2017 06:00;5;1;1;0;2;1;0;;19;23;17;27;0;1;10;20;1
07.01.2017 07:00;4;1;0;0;2;0;0;;24;28;16;32;0;1;11;19;1
07.01.2017 08:00;4;1;0;0;2;1;0;;35;20;18;22;0;1;16;22;1
07.01.2017 09:00;5;1;0;0;3;1;0;;22;27;28;42;0;1;12;26;2
07.01.2017 10:00;8;3;1;1;4;2;1;;40;48;33;77;0;2;19;39;4
07.01.2017 11:00;12;5;2;1;6;3;1;;81;46;38;63;2;3;20;53;6
07.01.2017 12:00;13;5;1;1;6;4;1;;60;46;41;58;5;3;22;52;4
07.01.2017 13:00;13;4;1;1;7;4;1;;53;48;56;92;1;3;23;67;4
07.01.2017 14:00;12;5;1;1;7;3;1;;58;55;55;126;1;3;27;75;4
07.01.2017 15:00;11;5;1;1;6;2;1;;89;61;36;146;1;2;33;76;3
07.01.2017 16:00;15;4;1;0;5;1;1;;69;51;35;101;1;1;27;110;2
07.01.2017 17:00;14;3;0;0;3;1;0;;65;45;38;103;0;1;23;98;3
07.01.2017 18:00;8;4;0;0;4;1;0;;62;49;32;105;0;1;23;86;2
07.01.2017 19:00;7;3;0;0;6;1;0;;62;51;35;101;0;1;14;69;3
07.01.2017 20:00;6;2;0;0;4;1;0;;50;48;40;72;0;1;13;62;2
07.01.2017 21:00;8;2;0;0;4;1;0;;45;47;44;62;0;1;18;49;3
07.01.2017 22:00;9;2;0;0;3;1;0;;55;36;45;94;0;1;16;59;2
07.01.2017 23:00;8;2;0;0;5;1;0;;45;40;50;57;0;2;16;50;2
08.01.2017 00:00;7;2;0;0;4;1;0;;24;36;39;35;0;2;16;48;2
08.01.2017 01:00;;2;0;0;5;1;0;;28;31;33;43;0;2;20;39;1
08.01.2017 02:00;6;3;0;0;4;1;0;;29;20;27;49;0;3;24;45;1
08.01.2017 03:00;7;2;0;0;9;1;0;;35;16;21;47;0;3;27;33;1
