Station;010 Wedding;018 Schöneberg;042 Neukölln;171 Mitte;282 Karlshorst
Messkomponente;Stickstoffmonoxid;Stickstoffmonoxid;Stickstoffmonoxid;Stickstoffmonoxid;Stickstoffmonoxid
Einheit;µg/m³;µg/m³;µg/m³;µg/m³;µg/m³
Messzeit;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte

01.01.2017 00:00;4;2;4;2;1
01.01.2017 01:00;19;24;21;46;23
01.01.2017 02:00;6;7;7;26;4
01.01.2017 03:00;;3;3;3;2
01.01.2017 04:00;;1;3;1;2
01.01.2017 05:00;3;2;2;1;2
01.01.2017 06:00;3;1;2;1;1
01.01.2017 07:00;3;1;2;1;3
01.01.2017 08:00;3;2;2;1;2
01.01.2017 09:00;3;3;2;1;3
01.01.2017 10:00;3;4;4;2;3
01.01.2017 11:00;4;6;5;5;6
01.01.2017 12:00;4;4;4;3;7
01.01.2017 13:00;4;5;4;3;4
01.01.2017 14:00;4;4;5;3;3
01.01.2017 15:00;4;4;6;4;3
01.01.2017 16:00;4;4;7;2;2
01.01.2017 17:00;8;4;6;1;3
01.01.2017 18:00;10;7;6;2;6
01.01.2017 19:00;7;4;6;2;4
01.01.2017 20:00;10;5;6;3;5
01.01.2017 21:00;10;5;7;3;4
01.01.2017 22:00;6;4;6;3;3
01.01.2017 23:00;5;3;6;3;3
02.01.2017 00:00;3;2;3;3;2
02.01.2017 01:00;2;2;3;3;2
02.01.2017 02:00;4;1;3;3;2
02.01.2017 03:00;5;1;4;3;3
02.01.2017 04:00;;2;4;3;3
02.01.2017 05:00;;2;4;3;3
02.01.2017 06:00;5;3;5;5;4
02.01.2017 07:00;7;8;9;8;7
02.01.2017 08:00;5;6;12;14;5
02.01.2017 09:00;16;7;17;10;6
02.01.2017 10:00;8;8;11;11;9
02.01.2017 11:00;11;9;13;9;9
02.01.2017 12:00;10;10;15;7;9
02.01.2017 13:00;7;7;15;6;6
02.01.2017 14:00;6;6;8;5;4
02.01.2017 15:00;4;5;7;5;4
02.01.2017 16:00;6;5;8;3;4
02.01.2017 17:00;8;5;7;7;5
02.01.2017 18:00;3;5;8;3;5
02.01.2017 19:00;12;6;10;4;5
02.01.2017 20:00;2;4;12;3;8
02.01.2017 21:00;13;3;10;4;5
02.01.2017 22:00;7;2;12;3;4
02.01.2017 23:00;4;1;4;2;2
03.01.2017 00:00;2;1;3;2;2
03.01.2017 01:00;3;1;2;1;1
03.01.2017 02:00;1;1;2;2;1
03.01.2017 03:00;1;1;2;1;1
03.01.2017 04:00;0;1;2;1;1
03.01.2017 05:00;;1;2;1;1
03.01.2017 06:00;;1;2;1;2
03.01.2017 07:00;4;1;3;2;3
03.01.2017 08:00;4;1;4;3;3
03.01.2017 09:00;4;2;5;4;3
03.01.2017 10:00;10;3;5;6;2
03.01.2017 11:00;9;3;5;3;3
03.01.2017 12:00;8;24;7;3;3
03.01.2017 13:00;7;3;6;4;3
03.01.2017 14:00;6;3;6;3;3
03.01.2017 15:00;6;3;6;3;3
03.01.2017 16:00;7;3;6;3;3
03.01.2017 17:00;5;3;4;2;2
03.01.2017 18:00;6;2;4;2;2
03.01.2017 19:00;4;2;5;1;2
03.01.2017 20:00;4;2;6;1;1
03.01.2017 21:00;3;2;3;1;1
03.01.2017 22:00;3;1;3;1;1
03.01.2017 23:00;3;1;3;1;1
04.01.2017 00:00;3;0;2;1;1
04.01.2017 01:00;1;0;1;1;1
04.01.2017 02:00;1;0;1;1;1
04.01.2017 03:00;3;0;1;1;2
04.01.2017 04:00;1;0;1;0;1
04.01.2017 05:00;2;0;1;0;1
04.01.2017 06:00;3;0;1;0;1
04.01.2017 07:00;4;1;2;1;2
04.01.2017 08:00;4;1;4;2;3
04.01.2017 09:00;4;1;4;2;2
04.01.2017 10:00;5;1;3;2;2
04.01.2017 11:00;5;1;3;3;3
04.01.2017 12:00;9;1;3;4;4
04.01.2017 13:00;8;2;4;3;4
04.01.2017 14:00;3;2;4;3;3
04.01.2017 15:00;3;2;7;3;4
04.01.2017 16:00;7;4;9;3;3
04.01.2017 17:00;2;1;8;3;3
04.01.2017 18:00;1;1;4;2;3
04.01.2017 19:00;1;1;4;2;4
04.01.2017 20:00;1;1;4;1;2
04.01.2017 21:00;2;1;4;1;1
04.01.2017 22:00;;1;6;1;1
04.01.2017 23:00;;0;2;1;1
05.01.2017 00:00;0;0;3;0;1
05.01.2017 01:00;0;1;1;0;1
05.01.2017 02:00;0;1;1;1;1
05.01.2017 03:00;0;1;1;1;0
05.01.2017 04:00;0;1;1;1;0
05.01.2017 05:00;0;1;1;1;1
05.01.2017 06:00;0;1;16;1;1
05.01.2017 07:00;1;2;4;2;2
05.01.2017 08:00;1;3;6;5;5
05.01.2017 09:00;1;4;12;9;3
05.01.2017 10:00;2;5;8;7;2
05.01.2017 11:00;1;4;4;16;3
05.01.2017 12:00;1;5;4;9;3
05.01.2017 13:00;1;4;4;6;2
05.01.2017 14:00;1;4;2;2;2
05.01.2017 15:00;1;3;3;2;2
05.01.2017 16:00;1;3;4;2;3
05.01.2017 17:00;0;2;4;4;2
05.01.2017 18:00;0;2;5;3;2
05.01.2017 19:00;0;2;4;3;2
05.01.2017 20:00;1;2;3;2;1
05.01.2017 21:00;0;2;3;2;1
05.01.2017 22:00;0;2;3;2;1
05.01.2017 23:00;;2;4;1;0
06.01.2017 00:00;;2;1;1;0
06.01.2017 01:00;0;1;1;1;0
06.01.2017 02:00;2;1;2;1;0
06.01.2017 03:00;1;1;15;1;0
06.01.2017 04:00;0;1;2;1;1
06.01.2017 05:00;1;1;2;1;1
06.01.2017 06:00;0;1;2;1;4
06.01.2017 07:00;5;2;5;4;5
06.01.2017 08:00;16;3;8;7;9
06.01.2017 09:00;12;8;16;11;8
06.01.2017 10:00;17;18;18;19;12
06.01.2017 11:00;14;22;16;15;9
06.01.2017 12:00;8;17;14;12;8
06.01.2017 13:00;16;15;13;10;6
06.01.2017 14:00;12;13;9;11;6
06.01.2017 15:00;13;8;9;9;4
06.01.2017 16:00;12;9;12;8;4
06.01.2017 17:00;8;5;19;4;5
06.01.2017 18:00;14;4;13;3;6
06.01.2017 19:00;6;5;14;3;6
06.01.2017 20:00;2;8;9;7;5
06.01.2017 21:00;3;7;17;3;16
06.01.2017 22:00;9;3;37;14;24
06.01.2017 23:00;34;1;23;9;32
07.01.2017 00:00;;33;24;13;39
07.01.2017 01:00;;22;26;21;43
07.01.2017 02:00;6;7;6;3;33
07.01.2017 03:00;2;1;3;1;24
07.01.2017 04:00;2;0;2;1;7
07.01.2017 05:00;2;0;2;1;2
07.01.2017 06:00;5;1;2;1;1
07.01.2017 07:00;4;1;2;1;1
07.01.2017 08:00;4;1;2;1;1
07.01.2017 09:00;5;1;3;1;2
07.01.2017 10:00;8;3;4;2;4
07.01.2017 11:00;12;5;6;3;6
07.01.2017 12:00;13;5;6;3;4
07.01.2017 13:00;13;4;7;3;4
07.01.2017 14:00;12;5;7;3;4
07.01.2017 15:00;11;5;6;2;3
07.01.2017 16:00;15;4;5;1;2
07.01.2017 17:00;14;3;3;1;3
07.01.2017 18:00;8;4;4;1;2
07.01.2017 19:00;7;3;6;1;3
07.01.2017 20:00;6;2;4;1;2
07.01.2017 21:00;8;2;4;1;3
07.01.2017 22:00;9;2;3;1;2
07.01.2017 23:00;8;2;5;2;2
08.01.2017 00:00;7;2;4;2;2
08.01.2017 01:00;;2;5;2;1
08.01.2017 02:00;6;3;4;3;1
08.01.2017 03:00;7;2;9;3;1
08.01.2017 04:00;10;4;4;2;1
08.01.2017 05:00;10;8;5;6;1
08.01.2017 06:00;17;11;7;9;1
08.01.2017 07:00;24;24;10;10;1
08.01.2017 08:00;17;29;8;10;1
08.01.2017 09:00;4;20;7;3;1
08.01.2017 10:00;7;19;7;3;6
08.01.2017 11:00;5;18;9;4;5
08.01.2017 12:00;5;14;8;3;3
08.01.2017 13:00;4;14;7;3;3
08.01.2017 14:00;5;13;9;4;2
08.01.2017 15:00;5;15;7;5;2
08.01.2017 16:00;5;14;5;3;2
08.01.2017 17:00;4;9;5;2;1
08.01.2017 18:00;10;17;6;3;1
08.01.2017 19:00;14;29;9;8;0
08.01.2017 20:00;9;31;15;10;1
08.01.2017 21:00;25;33;13;11;3
08.01.2017 22:00;34;31;20;17;3
08.01.2017 23:00;22;17;19;18;5
09.01.2017 00:00;4;7;16;17;9
09.01.2017 01:00;3;3;7;4;7
09.01.2017 02:00;;4;3;1;1
09.01.2017 03:00;;3;2;2;0
09.01.2017 04:00;2;3;4;3;1
09.01.2017 05:00;16;3;9;6;6
09.01.2017 06:00;24;8;15;14;19
09.01.2017 07:00;61;24;31;23;32
09.01.2017 08:00;63;42;42;44;43
09.01.2017 09:00;85;62;68;63;43
09.01.2017 10:00;102;79;83;104;48
09.01.2017 11:00;108;62;61;84;51
09.01.2017 12:00;85;69;51;69;35
09.01.2017 13:00;77;61;54;57;35
09.01.2017 14:00;75;48;34;54;30
09.01.2017 15:00;72;;32;38;24
09.01.2017 16:00;70;;29;30;18
09.01.2017 17:00;54;35;31;33;15
09.01.2017 18:00;50;30;28;23;17
09.01.2017 19:00;37;38;27;22;15
09.01.2017 20:00;24;31;29;23;11
09.01.2017 21:00;17;25;22;20;6
09.01.2017 22:00;12;16;20;16;5
09.01.2017 23:00;8;12;11;9;2
10.01.2017 00:00;4;5;4;5;1
10.01.2017 01:00;2;2;2;1;1
10.01.2017 02:00;2;1;2;1;1
10.01.2017 03:00;;3;2;1;1
10.01.2017 04:00;;1;1;1;1
10.01.2017 05:00;2;1;2;0;1
10.01.2017 06:00;4;4;2;0;1
10.01.2017 07:00;11;6;5;2;3
10.01.2017 08:00;13;11;14;6;5
10.01.2017 09:00;23;19;23;15;5
10.01.2017 10:00;24;21;20;17;9
10.01.2017 11:00;21;17;16;11;7
10.01.2017 12:00;21;17;14;10;7
10.01.2017 13:00;17;16;13;9;5
10.01.2017 14:00;23;10;9;5;5
10.01.2017 15:00;15;11;9;4;4
10.01.2017 16:00;13;12;10;4;3
10.01.2017 17:00;;16;13;5;3
10.01.2017 18:00;14;12;8;2;2
10.01.2017 19:00;13;12;9;4;3
10.01.2017 20:00;10;7;7;3;2
10.01.2017 21:00;6;4;3;1;2
10.01.2017 22:00;4;3;2;0;1
10.01.2017 23:00;3;2;2;0;1
11.01.2017 00:00;2;2;1;0;0
11.01.2017 01:00;2;2;1;0;0
11.01.2017 02:00;2;1;1;0;0
11.01.2017 03:00;1;1;1;0;0
11.01.2017 04:00;;1;1;0;1
11.01.2017 05:00;;1;1;0;1
11.01.2017 06:00;2;2;1;0;1
11.01.2017 07:00;7;7;3;1;4
11.01.2017 08:00;11;8;5;2;3
11.01.2017 09:00;12;8;5;3;3
11.01.2017 10:00;13;8;6;4;4
11.01.2017 11:00;;10;7;4;4
11.01.2017 12:00;;13;7;5;5
11.01.2017 13:00;19;12;7;5;4
11.01.2017 14:00;17;8;5;3;3
11.01.2017 15:00;20;7;4;2;3
11.01.2017 16:00;21;8;5;2;3
11.01.2017 17:00;18;6;5;2;4
11.01.2017 18:00;15;7;6;4;6
11.01.2017 19:00;24;11;10;8;5
11.01.2017 20:00;6;6;6;4;7
11.01.2017 21:00;4;4;5;2;2
11.01.2017 22:00;3;2;4;1;2
11.01.2017 23:00;2;1;1;0;1
12.01.2017 00:00;2;3;0;1;1
12.01.2017 01:00;3;4;1;0;1
12.01.2017 02:00;2;1;0;0;1
