Station;027 Marienfelde;032 Grunewald;077 Buch;085 Friedrichshagen;145 Frohnau
Messkomponente;Stickstoffmonoxid;Stickstoffmonoxid;Stickstoffmonoxid;Stickstoffmonoxid;Stickstoffmonoxid
Einheit;µg/m³;µg/m³;µg/m³;µg/m³;µg/m³
Messzeit;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte

01.01.2017 00:00;0;0;1;1;0
01.01.2017 01:00;0;0;3;1;1
01.01.2017 02:00;0;0;4;1;1
01.01.2017 03:00;0;0;1;1;0
01.01.2017 04:00;0;0;0;1;0
01.01.2017 05:00;0;0;1;1;0
01.01.2017 06:00;1;0;1;1;0
01.01.2017 07:00;1;0;1;1;0
01.01.2017 08:00;1;0;1;1;0
01.01.2017 09:00;1;0;1;1;0
01.01.2017 10:00;2;0;2;2;1
01.01.2017 11:00;3;1;2;3;1
01.01.2017 12:00;3;1;2;4;1
01.01.2017 13:00;2;0;1;3;1
01.01.2017 14:00;1;0;1;2;1
01.01.2017 15:00;1;0;1;1;1
01.01.2017 16:00;1;0;1;1;0
01.01.2017 17:00;1;0;1;1;0
01.01.2017 18:00;1;0;1;1;1
01.01.2017 19:00;1;0;1;1;1
01.01.2017 20:00;0;1;1;1;0
01.01.2017 21:00;0;0;1;1;0
01.01.2017 22:00;1;0;2;0;1
01.01.2017 23:00;1;0;1;0;1
02.01.2017 00:00;1;0;1;1;1
02.01.2017 01:00;1;0;1;1;0
02.01.2017 02:00;1;1;1;1;0
02.01.2017 03:00;1;1;1;1;0
02.01.2017 04:00;1;1;1;1;0
02.01.2017 05:00;1;0;1;1;0
02.01.2017 06:00;1;0;;1;0
02.01.2017 07:00;1;0;1;2;1
02.01.2017 08:00;1;0;1;3;1
02.01.2017 09:00;1;1;1;4;1
02.01.2017 10:00;2;1;1;5;1
02.01.2017 11:00;2;1;1;6;1
02.01.2017 12:00;2;1;1;6;1
02.01.2017 13:00;2;1;1;5;1
02.01.2017 14:00;2;0;1;2;1
02.01.2017 15:00;1;1;0;2;1
02.01.2017 16:00;1;0;0;1;0
02.01.2017 17:00;1;0;0;1;0
02.01.2017 18:00;1;0;0;1;1
02.01.2017 19:00;1;0;0;2;1
02.01.2017 20:00;1;0;1;6;2
02.01.2017 21:00;1;0;0;8;1
02.01.2017 22:00;0;0;0;1;0
02.01.2017 23:00;0;0;0;1;0
03.01.2017 00:00;0;0;0;0;0
03.01.2017 01:00;0;0;0;0;0
03.01.2017 02:00;0;0;0;0;0
03.01.2017 03:00;0;0;0;0;0
03.01.2017 04:00;0;0;0;0;0
03.01.2017 05:00;0;0;0;0;0
03.01.2017 06:00;0;0;0;0;0
03.01.2017 07:00;2;0;0;0;0
03.01.2017 08:00;1;0;0;1;0
03.01.2017 09:00;0;0;0;1;0
03.01.2017 10:00;0;0;0;1;0
03.01.2017 11:00;0;0;0;1;0
03.01.2017 12:00;0;0;7;1;0
03.01.2017 13:00;0;0;47;1;0
03.01.2017 14:00;0;0;56;3;0
03.01.2017 15:00;0;0;51;1;0
03.01.2017 16:00;0;0;54;1;0
03.01.2017 17:00;0;0;45;0;0
03.01.2017 18:00;0;0;1;0;0
03.01.2017 19:00;0;0;0;0;0
03.01.2017 20:00;0;0;0;0;0
03.01.2017 21:00;0;0;0;0;0
03.01.2017 22:00;0;0;0;0;0
03.01.2017 23:00;0;0;0;0;0
04.01.2017 00:00;0;0;0;0;0
04.01.2017 01:00;0;0;0;0;0
04.01.2017 02:00;0;0;0;0;0
04.01.2017 03:00;0;0;0;0;0
04.01.2017 04:00;0;0;0;0;0
04.01.2017 05:00;0;0;0;0;1
04.01.2017 06:00;0;0;0;0;1
04.01.2017 07:00;0;0;0;0;0
04.01.2017 08:00;0;0;20;0;1
04.01.2017 09:00;0;0;54;0;0
04.01.2017 10:00;0;0;32;0;1
04.01.2017 11:00;0;0;39;0;1
04.01.2017 12:00;0;0;47;0;1
04.01.2017 13:00;0;0;36;0;1
04.01.2017 14:00;0;0;26;0;1
04.01.2017 15:00;0;0;5;0;1
04.01.2017 16:00;0;0;0;0;1
04.01.2017 17:00;0;0;0;0;0
04.01.2017 18:00;0;0;0;0;1
04.01.2017 19:00;0;0;0;0;1
04.01.2017 20:00;0;0;0;0;1
04.01.2017 21:00;0;0;0;0;1
04.01.2017 22:00;0;0;0;0;0
04.01.2017 23:00;0;0;0;0;1
05.01.2017 00:00;0;0;0;0;1
05.01.2017 01:00;0;0;0;0;1
05.01.2017 02:00;0;0;0;0;0
05.01.2017 03:00;0;0;0;0;1
05.01.2017 04:00;0;0;0;1;1
05.01.2017 05:00;0;0;0;0;0
05.01.2017 06:00;1;0;0;0;0
05.01.2017 07:00;1;0;0;1;0
05.01.2017 08:00;0;0;6;1;0
05.01.2017 09:00;1;0;2;1;0
05.01.2017 10:00;2;0;1;1;0
05.01.2017 11:00;1;0;1;1;
05.01.2017 12:00;2;0;6;1;
05.01.2017 13:00;1;1;4;1;0
05.01.2017 14:00;1;0;1;1;0
05.01.2017 15:00;1;0;1;1;0
05.01.2017 16:00;0;0;1;1;0
05.01.2017 17:00;0;0;0;1;0
05.01.2017 18:00;0;0;0;0;0
05.01.2017 19:00;0;0;0;1;0
05.01.2017 20:00;0;0;0;0;0
05.01.2017 21:00;0;0;0;1;0
05.01.2017 22:00;0;0;0;0;0
05.01.2017 23:00;0;0;0;1;0
06.01.2017 00:00;0;0;0;0;0
06.01.2017 01:00;0;0;0;0;0
06.01.2017 02:00;0;0;0;1;0
06.01.2017 03:00;0;0;0;0;0
06.01.2017 04:00;0;0;0;0;0
06.01.2017 05:00;0;0;0;0;0
06.01.2017 06:00;3;0;0;0;0
06.01.2017 07:00;1;0;0;0;0
06.01.2017 08:00;5;0;4;1;0
06.01.2017 09:00;11;1;6;4;0
06.01.2017 10:00;19;1;4;10;2
06.01.2017 11:00;13;2;4;5;2
06.01.2017 12:00;14;2;8;4;1
06.01.2017 13:00;15;2;1;2;1
06.01.2017 14:00;8;1;0;2;1
06.01.2017 15:00;4;1;0;1;1
06.01.2017 16:00;2;0;3;3;1
06.01.2017 17:00;0;0;4;7;0
06.01.2017 18:00;0;0;0;4;0
06.01.2017 19:00;0;0;3;3;0
06.01.2017 20:00;0;0;2;2;0
06.01.2017 21:00;0;0;1;4;0
06.01.2017 22:00;3;0;1;23;0
06.01.2017 23:00;8;0;4;11;0
07.01.2017 00:00;7;29;4;11;0
07.01.2017 01:00;0;14;9;4;7
07.01.2017 02:00;0;1;14;0;6
07.01.2017 03:00;0;0;7;0;0
07.01.2017 04:00;0;0;1;0;0
07.01.2017 05:00;1;0;1;0;0
07.01.2017 06:00;1;0;1;0;0
07.01.2017 07:00;0;0;0;0;0
07.01.2017 08:00;0;0;1;0;0
07.01.2017 09:00;0;0;1;0;0
07.01.2017 10:00;1;1;2;1;0
07.01.2017 11:00;2;1;3;1;2
07.01.2017 12:00;1;1;4;1;5
07.01.2017 13:00;1;1;4;1;1
07.01.2017 14:00;1;1;3;1;1
07.01.2017 15:00;1;1;2;1;1
07.01.2017 16:00;1;0;1;1;1
07.01.2017 17:00;0;0;1;0;0
07.01.2017 18:00;0;0;1;0;0
07.01.2017 19:00;0;0;1;0;0
07.01.2017 20:00;0;0;1;0;0
07.01.2017 21:00;0;0;1;0;0
07.01.2017 22:00;0;0;1;0;0
07.01.2017 23:00;0;0;1;0;0
08.01.2017 00:00;0;0;1;0;0
08.01.2017 01:00;0;0;1;0;0
08.01.2017 02:00;0;0;1;0;0
08.01.2017 03:00;0;0;1;0;0
08.01.2017 04:00;0;1;1;0;1
08.01.2017 05:00;0;1;1;0;7
08.01.2017 06:00;0;0;1;0;4
08.01.2017 07:00;2;1;2;0;4
08.01.2017 08:00;4;1;1;0;1
08.01.2017 09:00;3;7;1;0;0
08.01.2017 10:00;5;20;2;1;1
08.01.2017 11:00;8;12;2;1;2
08.01.2017 12:00;5;13;2;2;1
08.01.2017 13:00;4;9;2;2;1
08.01.2017 14:00;3;5;2;2;1
08.01.2017 15:00;4;4;1;1;1
08.01.2017 16:00;4;5;1;1;0
08.01.2017 17:00;1;6;1;0;0
08.01.2017 18:00;0;6;0;0;0
08.01.2017 19:00;0;8;0;0;0
08.01.2017 20:00;0;13;0;0;0
08.01.2017 21:00;0;15;1;0;0
08.01.2017 22:00;2;19;1;0;0
08.01.2017 23:00;11;15;1;0;0
09.01.2017 00:00;4;0;0;1;0
09.01.2017 01:00;0;0;0;4;0
09.01.2017 02:00;0;0;0;2;0
09.01.2017 03:00;1;0;0;0;0
09.01.2017 04:00;0;0;0;0;0
09.01.2017 05:00;0;0;0;1;0
09.01.2017 06:00;2;0;2;1;1
09.01.2017 07:00;4;6;15;1;3
09.01.2017 08:00;7;13;49;2;6
09.01.2017 09:00;7;24;64;10;17
09.01.2017 10:00;15;31;71;12;38
09.01.2017 11:00;12;27;64;16;58
09.01.2017 12:00;20;28;62;15;75
09.01.2017 13:00;16;31;54;10;92
09.01.2017 14:00;16;29;38;7;70
09.01.2017 15:00;11;24;46;6;58
09.01.2017 16:00;8;23;40;2;52
09.01.2017 17:00;4;17;26;0;62
09.01.2017 18:00;4;17;21;0;57
09.01.2017 19:00;5;15;20;0;42
09.01.2017 20:00;5;7;13;0;35
09.01.2017 21:00;2;4;7;0;20
09.01.2017 22:00;2;2;3;0;9
09.01.2017 23:00;1;0;1;0;2
10.01.2017 00:00;0;0;1;0;1
10.01.2017 01:00;0;0;0;0;0
10.01.2017 02:00;0;0;0;0;0
10.01.2017 03:00;0;0;0;0;0
10.01.2017 04:00;0;0;0;0;0
10.01.2017 05:00;0;0;0;0;0
10.01.2017 06:00;1;0;0;0;0
10.01.2017 07:00;1;0;0;0;0
10.01.2017 08:00;1;0;1;0;0
10.01.2017 09:00;2;1;2;1;2
10.01.2017 10:00;5;3;5;3;5
10.01.2017 11:00;6;3;6;3;5
10.01.2017 12:00;5;3;7;3;6
10.01.2017 13:00;4;2;6;3;6
10.01.2017 14:00;4;1;6;3;4
10.01.2017 15:00;4;1;6;2;2
10.01.2017 16:00;2;1;3;1;2
10.01.2017 17:00;1;0;1;0;0
10.01.2017 18:00;1;2;1;0;0
10.01.2017 19:00;1;1;0;0;0
10.01.2017 20:00;1;0;0;0;0
10.01.2017 21:00;1;0;0;0;0
10.01.2017 22:00;1;0;0;0;0
10.01.2017 23:00;1;0;0;0;0
11.01.2017 00:00;1;0;0;0;0
11.01.2017 01:00;1;0;0;0;0
11.01.2017 02:00;1;0;0;0;0
11.01.2017 03:00;1;0;0;0;0
11.01.2017 04:00;1;0;0;0;0
11.01.2017 05:00;1;0;0;0;0
11.01.2017 06:00;1;0;;0;0
11.01.2017 07:00;1;0;1;0;0
11.01.2017 08:00;1;0;2;0;1
11.01.2017 09:00;1;0;5;0;2
11.01.2017 10:00;2;0;6;1;2
11.01.2017 11:00;4;1;8;2;4
11.01.2017 12:00;3;1;8;3;4
11.01.2017 13:00;3;1;8;2;3
11.01.2017 14:00;3;1;7;1;2
11.01.2017 15:00;2;0;11;1;1
11.01.2017 16:00;1;0;13;0;0
11.01.2017 17:00;1;0;17;0;0
11.01.2017 18:00;1;0;3;0;0
11.01.2017 19:00;1;0;1;0;0
11.01.2017 20:00;1;0;2;0;1
11.01.2017 21:00;1;0;0;0;0
11.01.2017 22:00;1;0;0;0;0
11.01.2017 23:00;0;0;0;0;0
12.01.2017 00:00;0;0;0;1;0
12.01.2017 01:00;0;0;0;1;0
