Station;088 Messwagen Leipziger Str.;115 Hardenbergplatz;117 Schildhornstraße;124 Mariendorfer Damm;143 Silbersteinstraße;174 Frankfurter Allee;220 Karl-Marx-Straße
Messkomponente;Stickstoffmonoxid;Stickstoffmonoxid;Stickstoffmonoxid;Stickstoffmonoxid;Stickstoffmonoxid;Stickstoffmonoxid;Stickstoffmonoxid
Einheit;µg/m³;µg/m³;µg/m³;µg/m³;µg/m³;µg/m³;µg/m³
Messzeit;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte

01.01.2017 00:00;;19;27;21;99;17;26
01.01.2017 01:00;;39;210;138;121;173;60
01.01.2017 02:00;;26;36;42;76;18;62
01.01.2017 03:00;;25;32;41;45;10;59
01.01.2017 04:00;;16;14;33;46;9;41
01.01.2017 05:00;;10;18;18;32;10;45
01.01.2017 06:00;;22;13;16;35;12;32
01.01.2017 07:00;;20;12;15;24;9;45
01.01.2017 08:00;;12;17;12;16;6;17
01.01.2017 09:00;;14;12;12;20;9;17
01.01.2017 10:00;;17;17;14;18;8;25
01.01.2017 11:00;;26;18;17;22;14;21
01.01.2017 12:00;;31;25;24;41;20;23
01.01.2017 13:00;;45;21;27;28;9;28
01.01.2017 14:00;;44;29;32;42;12;38
01.01.2017 15:00;;50;31;40;37;11;42
01.01.2017 16:00;;49;36;37;31;11;50
01.01.2017 17:00;;50;38;44;51;11;50
01.01.2017 18:00;;55;38;41;59;16;53
01.01.2017 19:00;;48;33;39;60;12;54
01.01.2017 20:00;;50;27;43;51;15;51
01.01.2017 21:00;;41;26;47;50;12;41
01.01.2017 22:00;;29;21;35;36;11;42
01.01.2017 23:00;;18;13;32;35;19;39
02.01.2017 00:00;;11;9;24;11;15;32
02.01.2017 01:00;;8;7;17;4;15;20
02.01.2017 02:00;;7;4;13;3;14;17
02.01.2017 03:00;;8;3;9;8;18;17
02.01.2017 04:00;;10;8;24;5;14;10
02.01.2017 05:00;;13;25;21;8;18;15
02.01.2017 06:00;;18;36;51;16;43;30
02.01.2017 07:00;;31;73;83;32;74;64
02.01.2017 08:00;;34;56;85;27;88;66
02.01.2017 09:00;;51;73;110;28;119;83
02.01.2017 10:00;;39;53;86;26;77;116
02.01.2017 11:00;;32;62;125;28;64;103
02.01.2017 12:00;;28;66;110;33;76;107
02.01.2017 13:00;;29;64;111;39;58;108
02.01.2017 14:00;;28;77;103;16;41;119
02.01.2017 15:00;;19;46;103;26;16;62
02.01.2017 16:00;;22;82;112;17;30;112
02.01.2017 17:00;;15;82;146;17;54;161
02.01.2017 18:00;;23;80;152;19;60;154
02.01.2017 19:00;;30;74;165;31;70;145
02.01.2017 20:00;;43;52;113;26;47;116
02.01.2017 21:00;;31;32;77;24;64;73
02.01.2017 22:00;;21;25;51;52;43;56
02.01.2017 23:00;;19;17;46;40;18;42
03.01.2017 00:00;;13;11;28;21;13;37
03.01.2017 01:00;;13;7;16;10;8;20
03.01.2017 02:00;;6;4;11;7;7;15
03.01.2017 03:00;;6;3;10;2;13;15
03.01.2017 04:00;;6;6;16;5;11;18
03.01.2017 05:00;;8;8;18;4;13;14
03.01.2017 06:00;;16;31;38;6;28;25
03.01.2017 07:00;;18;44;66;15;70;52
03.01.2017 08:00;;27;41;71;18;74;93
03.01.2017 09:00;;26;44;58;18;75;111
03.01.2017 10:00;;36;45;60;17;67;69
03.01.2017 11:00;;27;33;65;24;62;76
03.01.2017 12:00;;29;30;84;35;51;86
03.01.2017 13:00;;26;27;55;42;46;95
03.01.2017 14:00;;23;24;55;62;36;88
03.01.2017 15:00;;31;31;64;67;40;90
03.01.2017 16:00;;21;34;61;50;48;98
03.01.2017 17:00;;24;28;46;42;48;90
03.01.2017 18:00;;23;27;44;36;29;86
03.01.2017 19:00;;16;20;36;34;21;63
03.01.2017 20:00;;17;18;35;36;10;42
03.01.2017 21:00;;14;14;23;20;9;33
03.01.2017 22:00;;11;8;17;12;12;23
03.01.2017 23:00;;8;7;17;10;10;24
04.01.2017 00:00;;8;4;14;6;6;15
04.01.2017 01:00;;5;3;9;4;3;9
04.01.2017 02:00;;3;2;3;4;3;7
04.01.2017 03:00;;3;1;4;1;4;8
04.01.2017 04:00;;3;2;8;2;3;7
04.01.2017 05:00;;7;8;10;2;7;5
04.01.2017 06:00;;5;18;19;3;22;16
04.01.2017 07:00;;14;36;37;10;47;35
04.01.2017 08:00;;17;40;70;11;57;52
04.01.2017 09:00;;15;34;53;11;72;58
04.01.2017 10:00;;18;24;38;8;67;48
04.01.2017 11:00;;16;29;46;12;47;51
04.01.2017 12:00;;18;31;46;9;50;58
04.01.2017 13:00;;18;37;47;18;37;56
04.01.2017 14:00;;13;25;51;11;28;54
04.01.2017 15:00;;10;21;60;8;23;79
04.01.2017 16:00;;12;48;83;15;22;140
04.01.2017 17:00;;11;15;70;12;8;66
04.01.2017 18:00;;13;14;53;13;7;24
04.01.2017 19:00;;12;10;58;6;7;35
04.01.2017 20:00;;10;19;53;7;4;41
04.01.2017 21:00;;10;12;47;6;3;39
04.01.2017 22:00;;8;11;34;4;2;23
04.01.2017 23:00;;6;6;30;5;1;5
05.01.2017 00:00;;7;5;17;5;1;6
05.01.2017 01:00;;6;1;8;3;1;6
05.01.2017 02:00;;9;0;4;4;1;4
05.01.2017 03:00;;2;0;4;4;1;5
05.01.2017 04:00;;4;0;9;4;1;5
05.01.2017 05:00;;7;3;12;4;1;6
05.01.2017 06:00;;6;4;31;6;3;5
05.01.2017 07:00;;16;7;53;19;10;8
05.01.2017 08:00;;18;10;77;18;12;20
05.01.2017 09:00;;16;9;80;23;18;18
05.01.2017 10:00;;26;8;59;41;9;15
05.01.2017 11:00;;31;9;37;33;13;14
05.01.2017 12:00;;32;9;25;34;11;17
05.01.2017 13:00;;22;8;45;21;7;17
05.01.2017 14:00;;28;10;36;25;8;15
05.01.2017 15:00;;24;6;27;27;5;13
05.01.2017 16:00;;19;7;39;24;10;16
05.01.2017 17:00;;23;8;38;37;9;21
05.01.2017 18:00;;17;7;53;20;9;20
05.01.2017 19:00;;26;8;52;18;6;21
05.01.2017 20:00;;21;6;55;14;5;13
05.01.2017 21:00;;20;5;47;13;4;10
05.01.2017 22:00;;11;5;35;7;3;9
05.01.2017 23:00;;17;3;35;9;2;12
06.01.2017 00:00;;14;2;15;4;2;6
06.01.2017 01:00;;8;2;12;4;1;4
06.01.2017 02:00;;6;1;7;3;1;6
06.01.2017 03:00;;6;2;12;5;1;4
06.01.2017 04:00;;8;5;11;4;1;5
06.01.2017 05:00;;7;35;20;3;3;3
06.01.2017 06:00;;8;6;52;7;5;5
06.01.2017 07:00;;17;64;109;14;11;11
06.01.2017 08:00;;26;111;182;17;15;25
06.01.2017 09:00;;36;127;175;24;26;28
06.01.2017 10:00;;45;130;143;27;23;36
06.01.2017 11:00;;38;55;127;36;19;45
06.01.2017 12:00;;42;67;137;53;21;66
06.01.2017 13:00;;34;57;129;57;23;73
06.01.2017 14:00;;42;77;149;74;22;92
06.01.2017 15:00;;;82;178;49;14;127
06.01.2017 16:00;;38;103;172;38;53;151
06.01.2017 17:00;;46;96;183;53;67;152
06.01.2017 18:00;;36;85;153;34;62;151
06.01.2017 19:00;;41;74;152;42;45;136
06.01.2017 20:00;;24;68;162;88;30;111
06.01.2017 21:00;;35;58;148;77;48;104
06.01.2017 22:00;;39;47;136;32;53;64
06.01.2017 23:00;;47;77;117;117;79;70
07.01.2017 00:00;;67;62;75;88;52;67
07.01.2017 01:00;;42;30;43;59;57;56
07.01.2017 02:00;;20;15;32;38;28;34
07.01.2017 03:00;;14;7;19;24;15;31
07.01.2017 04:00;;11;9;18;25;10;20
07.01.2017 05:00;;16;12;15;20;7;18
07.01.2017 06:00;;19;23;17;27;10;20
07.01.2017 07:00;;24;28;16;32;11;19
07.01.2017 08:00;;35;20;18;22;16;22
07.01.2017 09:00;;22;27;28;42;12;26
07.01.2017 10:00;;40;48;33;77;19;39
07.01.2017 11:00;;81;46;38;63;20;53
07.01.2017 12:00;;60;46;41;58;22;52
07.01.2017 13:00;;53;48;56;92;23;67
07.01.2017 14:00;;58;55;55;126;27;75
07.01.2017 15:00;;89;61;36;146;33;76
07.01.2017 16:00;;69;51;35;101;27;110
07.01.2017 17:00;;65;45;38;103;23;98
07.01.2017 18:00;;62;49;32;105;23;86
07.01.2017 19:00;;62;51;35;101;14;69
07.01.2017 20:00;;50;48;40;72;13;62
07.01.2017 21:00;;45;47;44;62;18;49
07.01.2017 22:00;;55;36;45;94;16;59
07.01.2017 23:00;;45;40;50;57;16;50
08.01.2017 00:00;;24;36;39;35;16;48
08.01.2017 01:00;;28;31;33;43;20;39
08.01.2017 02:00;;29;20;27;49;24;45
08.01.2017 03:00;;35;16;21;47;27;33
08.01.2017 04:00;;43;14;40;33;22;33
08.01.2017 05:00;;31;33;20;61;23;29
08.01.2017 06:00;;27;21;22;56;43;35
08.01.2017 07:00;;39;23;20;39;21;18
08.01.2017 08:00;;57;49;12;72;17;16
08.01.2017 09:00;;34;31;16;54;10;11
08.01.2017 10:00;;32;34;19;82;15;13
08.01.2017 11:00;;49;42;40;82;23;14
08.01.2017 12:00;;63;31;18;114;15;17
08.01.2017 13:00;;68;30;33;118;19;14
08.01.2017 14:00;;64;48;32;136;22;29
