Station;010 Wedding;018 Schöneberg;042 Neukölln;171 Mitte;282 Karlshorst
Messkomponente;Stickoxide;Stickoxide;Stickoxide;Stickoxide;Stickoxide
Einheit;µg/m³;µg/m³;µg/m³;µg/m³;µg/m³
Messzeit;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte

01.01.2017 00:00;34;34;36;38;25
01.01.2017 01:00;76;83;76;121;81
01.01.2017 02:00;45;50;45;92;41
01.01.2017 03:00;;30;30;39;27
01.01.2017 04:00;;25;31;32;27
01.01.2017 05:00;25;25;28;30;30
01.01.2017 06:00;28;27;27;29;26
01.01.2017 07:00;29;27;27;29;34
01.01.2017 08:00;29;29;28;31;29
01.01.2017 09:00;31;30;29;29;29
01.01.2017 10:00;27;33;32;30;29
01.01.2017 11:00;28;37;31;35;33
01.01.2017 12:00;27;32;30;30;38
01.01.2017 13:00;27;35;33;32;29
01.01.2017 14:00;24;38;40;35;32
01.01.2017 15:00;28;42;47;42;34
01.01.2017 16:00;30;45;51;42;33
01.01.2017 17:00;54;47;49;42;42
01.01.2017 18:00;57;50;49;44;50
01.01.2017 19:00;53;47;52;47;46
01.01.2017 20:00;59;49;52;50;50
01.01.2017 21:00;60;48;53;50;46
01.01.2017 22:00;50;47;51;48;42
01.01.2017 23:00;47;42;54;45;48
02.01.2017 00:00;37;30;38;35;35
02.01.2017 01:00;34;32;36;38;34
02.01.2017 02:00;43;33;37;38;34
02.01.2017 03:00;43;32;40;40;39
02.01.2017 04:00;;30;37;36;38
02.01.2017 05:00;;30;37;34;34
02.01.2017 06:00;37;31;39;38;38
02.01.2017 07:00;43;41;45;45;45
02.01.2017 08:00;38;37;50;55;39
02.01.2017 09:00;55;40;61;49;41
02.01.2017 10:00;41;44;50;52;48
02.01.2017 11:00;48;44;54;43;45
02.01.2017 12:00;45;45;60;35;43
02.01.2017 13:00;33;41;59;35;39
02.01.2017 14:00;38;39;39;34;31
02.01.2017 15:00;38;37;45;38;29
02.01.2017 16:00;43;47;54;37;34
02.01.2017 17:00;54;58;56;51;53
02.01.2017 18:00;43;56;61;48;58
02.01.2017 19:00;70;58;70;49;58
02.01.2017 20:00;34;44;76;41;55
02.01.2017 21:00;63;32;63;44;58
02.01.2017 22:00;51;28;59;39;47
02.01.2017 23:00;33;22;39;31;38
03.01.2017 00:00;24;20;31;28;31
03.01.2017 01:00;24;19;27;24;24
03.01.2017 02:00;20;15;25;23;24
03.01.2017 03:00;12;11;20;15;16
03.01.2017 04:00;12;8;19;15;14
03.01.2017 05:00;;9;17;13;14
03.01.2017 06:00;;10;19;13;17
03.01.2017 07:00;24;16;27;24;24
03.01.2017 08:00;27;18;34;28;26
03.01.2017 09:00;34;20;38;32;26
03.01.2017 10:00;50;20;34;35;25
03.01.2017 11:00;57;20;36;26;26
03.01.2017 12:00;47;60;39;28;25
03.01.2017 13:00;40;23;37;31;24
03.01.2017 14:00;36;24;39;30;26
03.01.2017 15:00;39;25;41;34;31
03.01.2017 16:00;41;23;41;34;29
03.01.2017 17:00;33;23;34;31;25
03.01.2017 18:00;35;22;33;29;25
03.01.2017 19:00;26;20;34;26;23
03.01.2017 20:00;26;22;36;26;24
03.01.2017 21:00;27;22;29;26;25
03.01.2017 22:00;28;23;30;25;24
03.01.2017 23:00;29;22;30;26;23
04.01.2017 00:00;28;21;25;23;22
04.01.2017 01:00;20;19;21;22;19
04.01.2017 02:00;19;16;18;19;17
04.01.2017 03:00;18;11;14;12;19
04.01.2017 04:00;12;6;10;9;9
04.01.2017 05:00;15;5;10;10;12
04.01.2017 06:00;19;8;12;11;11
04.01.2017 07:00;30;12;19;15;16
04.01.2017 08:00;28;15;26;22;23
04.01.2017 09:00;25;15;26;22;18
04.01.2017 10:00;27;14;22;18;18
04.01.2017 11:00;26;14;21;20;20
04.01.2017 12:00;41;16;24;31;29
