Station;027 Marienfelde;032 Grunewald;077 Buch;085 Friedrichshagen;145 Frohnau
Messkomponente;Stickoxide;Stickoxide;Stickoxide;Stickoxide;Stickoxide
Einheit;µg/m³;µg/m³;µg/m³;µg/m³;µg/m³
Messzeit;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte

01.01.2017 00:00;10;10;30;13;17
01.01.2017 01:00;11;20;42;13;17
01.01.2017 02:00;16;18;54;17;20
01.01.2017 03:00;17;15;32;18;11
01.01.2017 04:00;15;12;26;17;9
01.01.2017 05:00;13;12;25;18;8
01.01.2017 06:00;17;12;22;19;8
01.01.2017 07:00;19;16;25;17;9
01.01.2017 08:00;19;15;24;18;10
01.01.2017 09:00;20;15;22;19;9
01.01.2017 10:00;20;13;24;21;9
01.01.2017 11:00;22;17;25;20;9
01.01.2017 12:00;19;16;22;19;9
01.01.2017 13:00;20;13;14;21;10
01.01.2017 14:00;18;12;14;22;12
01.01.2017 15:00;20;13;17;25;14
01.01.2017 16:00;23;14;18;27;15
01.01.2017 17:00;27;20;29;27;16
01.01.2017 18:00;27;30;40;26;17
01.01.2017 19:00;30;31;42;29;17
01.01.2017 20:00;31;42;42;31;18
01.01.2017 21:00;30;38;43;30;21
01.01.2017 22:00;31;33;46;32;25
01.01.2017 23:00;35;28;34;33;26
02.01.2017 00:00;34;25;19;35;19
02.01.2017 01:00;28;26;22;36;25
02.01.2017 02:00;28;29;29;33;29
02.01.2017 03:00;28;26;30;32;28
02.01.2017 04:00;26;24;28;33;26
02.01.2017 05:00;24;23;27;31;25
02.01.2017 06:00;25;21;;31;25
02.01.2017 07:00;25;19;26;32;23
02.01.2017 08:00;25;17;22;36;21
02.01.2017 09:00;25;16;23;38;20
02.01.2017 10:00;22;14;19;39;15
02.01.2017 11:00;20;11;16;41;14
02.01.2017 12:00;17;9;16;36;11
02.01.2017 13:00;15;8;14;38;12
02.01.2017 14:00;15;7;9;26;10
02.01.2017 15:00;17;8;5;19;12
02.01.2017 16:00;21;7;5;19;12
02.01.2017 17:00;25;7;9;27;21
02.01.2017 18:00;32;8;12;37;30
02.01.2017 19:00;26;10;21;43;39
02.01.2017 20:00;19;10;33;65;38
02.01.2017 21:00;18;10;25;67;21
02.01.2017 22:00;27;13;18;31;16
02.01.2017 23:00;21;12;18;26;19
03.01.2017 00:00;16;14;15;26;15
03.01.2017 01:00;17;15;15;22;12
03.01.2017 02:00;13;11;12;19;9
03.01.2017 03:00;8;7;8;15;8
03.01.2017 04:00;7;5;6;12;7
03.01.2017 05:00;6;4;7;11;5
03.01.2017 06:00;5;3;7;12;7
03.01.2017 07:00;11;4;8;16;8
03.01.2017 08:00;11;5;10;17;9
03.01.2017 09:00;10;4;9;17;8
03.01.2017 10:00;10;5;9;17;6
03.01.2017 11:00;9;6;9;18;5
03.01.2017 12:00;10;7;21;16;5
03.01.2017 13:00;12;8;99;17;7
03.01.2017 14:00;13;11;115;22;9
03.01.2017 15:00;13;11;106;17;11
03.01.2017 16:00;14;10;112;23;11
03.01.2017 17:00;13;11;96;20;10
03.01.2017 18:00;11;11;14;16;10
03.01.2017 19:00;12;11;11;12;10
03.01.2017 20:00;15;15;13;14;13
03.01.2017 21:00;14;16;17;14;16
03.01.2017 22:00;17;19;17;17;17
03.01.2017 23:00;18;19;17;20;17
04.01.2017 00:00;18;18;16;20;16
04.01.2017 01:00;17;17;15;18;15
04.01.2017 02:00;16;14;13;17;12
04.01.2017 03:00;13;11;7;13;6
04.01.2017 04:00;3;1;2;5;4
04.01.2017 05:00;2;1;3;5;4
04.01.2017 06:00;3;1;3;6;5
04.01.2017 07:00;6;2;5;9;6
04.01.2017 08:00;7;2;43;12;5
04.01.2017 09:00;5;2;108;11;7
04.01.2017 10:00;5;2;63;9;6
04.01.2017 11:00;5;2;80;10;4
04.01.2017 12:00;5;2;98;11;4
