Station;010 Wedding;027 Marienfelde;032 Grunewald;042 Neukölln;077 Buch;085 Friedrichshagen;088 Messwagen Leipziger Str.;145 Frohnau
Messkomponente;Ozon;Ozon;Ozon;Ozon;Ozon;Ozon;Ozon;Ozon
Einheit;µg/m³;µg/m³;µg/m³;µg/m³;µg/m³;µg/m³;µg/m³;µg/m³
Messzeit;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte

01.01.2017 00:00;31;47;33;28;;44;;28
01.01.2017 01:00;8;39;26;11;;39;;29
01.01.2017 02:00;19;29;28;18;;33;;30
01.01.2017 03:00;22;25;31;26;;30;;43
01.01.2017 04:00;32;30;35;23;;29;;46
01.01.2017 05:00;34;33;30;24;;27;;46
01.01.2017 06:00;30;29;27;23;;26;;46
01.01.2017 07:00;26;25;26;23;;26;;42
01.01.2017 08:00;26;23;29;23;;24;;44
01.01.2017 09:00;25;22;26;21;;25;;46
01.01.2017 10:00;34;26;39;21;;27;;50
01.01.2017 11:00;38;30;33;26;;31;;53
01.01.2017 12:00;39;37;28;31;;37;;53
01.01.2017 13:00;41;38;41;30;;38;;52
01.01.2017 14:00;43;39;43;24;;36;;48
01.01.2017 15:00;39;34;40;18;;30;;44
01.01.2017 16:00;36;29;34;14;;26;;41
01.01.2017 17:00;15;22;27;13;;23;;40
01.01.2017 18:00;11;20;14;12;;22;;37
01.01.2017 19:00;10;16;12;9;;17;;35
01.01.2017 20:00;9;15;7;8;;15;;31
01.01.2017 21:00;6;14;10;7;;15;;29
01.01.2017 22:00;8;15;13;7;;15;;24
01.01.2017 23:00;10;10;19;7;;14;;21
02.01.2017 00:00;14;11;20;17;;11;;32
02.01.2017 01:00;13;15;18;13;;10;;21
02.01.2017 02:00;6;16;14;11;;13;;13
02.01.2017 03:00;5;14;14;8;;11;;12
02.01.2017 04:00;5;13;13;9;;8;;12
02.01.2017 05:00;9;12;13;7;;8;;11
02.01.2017 06:00;7;10;13;6;;7;;10
02.01.2017 07:00;6;11;14;6;;7;;12
02.01.2017 08:00;9;12;16;7;;6;;14
02.01.2017 09:00;9;14;18;6;;7;;16
02.01.2017 10:00;11;18;21;7;;8;;20
02.01.2017 11:00;12;20;25;8;;7;;23
02.01.2017 12:00;15;28;32;10;;18;;30
02.01.2017 13:00;27;31;34;16;;17;;35
02.01.2017 14:00;28;34;39;32;;31;;46
02.01.2017 15:00;35;39;46;31;;43;;49
02.01.2017 16:00;34;40;51;28;;45;;50
02.01.2017 17:00;27;35;44;24;;39;;39
02.01.2017 18:00;29;20;36;21;;30;;25
02.01.2017 19:00;12;25;35;13;;25;;16
02.01.2017 20:00;25;31;34;6;;7;;14
02.01.2017 21:00;12;30;36;10;;6;;23
02.01.2017 22:00;12;20;33;14;;18;;24
02.01.2017 23:00;25;23;34;21;;20;;21
03.01.2017 00:00;27;28;32;24;;18;;27
03.01.2017 01:00;29;31;33;28;;21;;31
03.01.2017 02:00;32;38;39;32;;27;;39
03.01.2017 03:00;45;48;47;40;;37;;45
03.01.2017 04:00;46;50;50;42;;44;;45
03.01.2017 05:00;48;54;54;45;;46;;50
