Station;010 Wedding;042 Neukölln
Messkomponente;Ozon;Ozon
Einheit;µg/m³;µg/m³
Messzeit;Stundenwerte;Stundenwerte

01.01.2017 00:00;31;28
01.01.2017 01:00;8;11
01.01.2017 02:00;19;18
01.01.2017 03:00;22;26
01.01.2017 04:00;32;23
01.01.2017 05:00;34;24
01.01.2017 06:00;30;23
01.01.2017 07:00;26;23
01.01.2017 08:00;26;23
01.01.2017 09:00;25;21
01.01.2017 10:00;34;21
01.01.2017 11:00;38;26
01.01.2017 12:00;39;31
01.01.2017 13:00;41;30
01.01.2017 14:00;43;24
01.01.2017 15:00;39;18
01.01.2017 16:00;36;14
01.01.2017 17:00;15;13
01.01.2017 18:00;11;12
01.01.2017 19:00;10;9
01.01.2017 20:00;9;8
01.01.2017 21:00;6;7
01.01.2017 22:00;8;7
01.01.2017 23:00;10;7
02.01.2017 00:00;14;17
02.01.2017 01:00;13;13
02.01.2017 02:00;6;11
02.01.2017 03:00;5;8
02.01.2017 04:00;5;9
02.01.2017 05:00;9;7
02.01.2017 06:00;7;6
02.01.2017 07:00;6;6
02.01.2017 08:00;9;7
02.01.2017 09:00;9;6
02.01.2017 10:00;11;7
02.01.2017 11:00;12;8
02.01.2017 12:00;15;10
02.01.2017 13:00;27;16
02.01.2017 14:00;28;32
02.01.2017 15:00;35;31
02.01.2017 16:00;34;28
02.01.2017 17:00;27;24
02.01.2017 18:00;29;21
02.01.2017 19:00;12;13
02.01.2017 20:00;25;6
02.01.2017 21:00;12;10
02.01.2017 22:00;12;14
02.01.2017 23:00;25;21
03.01.2017 00:00;27;24
03.01.2017 01:00;29;28
03.01.2017 02:00;32;32
03.01.2017 03:00;45;40
03.01.2017 04:00;46;42
03.01.2017 05:00;48;45
03.01.2017 06:00;47;47
03.01.2017 07:00;44;42
03.01.2017 08:00;40;35
03.01.2017 09:00;36;34
03.01.2017 10:00;30;39
03.01.2017 11:00;22;38
03.01.2017 12:00;29;38
03.01.2017 13:00;36;39
03.01.2017 14:00;39;40
03.01.2017 15:00;37;37
03.01.2017 16:00;35;37
03.01.2017 17:00;38;38
03.01.2017 18:00;37;38
03.01.2017 19:00;45;40
03.01.2017 20:00;40;36
03.01.2017 21:00;34;34
03.01.2017 22:00;30;30
03.01.2017 23:00;28;29
04.01.2017 00:00;28;31
04.01.2017 01:00;33;33
04.01.2017 02:00;35;35
04.01.2017 03:00;57;51
04.01.2017 04:00;75;74
04.01.2017 05:00;71;73
04.01.2017 06:00;70;73
04.01.2017 07:00;59;67
04.01.2017 08:00;62;61
04.01.2017 09:00;63;61
04.01.2017 10:00;63;63
04.01.2017 11:00;63;63
04.01.2017 12:00;56;60
04.01.2017 13:00;59;62
04.01.2017 14:00;65;60
04.01.2017 15:00;57;50
04.01.2017 16:00;41;41
04.01.2017 17:00;42;34
04.01.2017 18:00;54;48
04.01.2017 19:00;57;49
04.01.2017 20:00;53;48
04.01.2017 21:00;48;42
04.01.2017 22:00;49;45
04.01.2017 23:00;50;49
05.01.2017 00:00;51;48
05.01.2017 01:00;53;47
05.01.2017 02:00;56;51
05.01.2017 03:00;57;52
05.01.2017 04:00;59;50
05.01.2017 05:00;54;48
05.01.2017 06:00;52;45
05.01.2017 07:00;51;45
05.01.2017 08:00;45;35
05.01.2017 09:00;44;37
05.01.2017 10:00;52;45
05.01.2017 11:00;58;50
05.01.2017 12:00;65;55
05.01.2017 13:00;69;60
05.01.2017 14:00;70;65
