Station;027 Marienfelde;032 Grunewald;077 Buch;085 Friedrichshagen;145 Frohnau
Messkomponente;Ozon;Ozon;Ozon;Ozon;Ozon
Einheit;µg/m³;µg/m³;µg/m³;µg/m³;µg/m³
Messzeit;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte

01.01.2017 00:00;47;33;;44;28
01.01.2017 01:00;39;26;;39;29
01.01.2017 02:00;29;28;;33;30
01.01.2017 03:00;25;31;;30;43
01.01.2017 04:00;30;35;;29;46
01.01.2017 05:00;33;30;;27;46
01.01.2017 06:00;29;27;;26;46
01.01.2017 07:00;25;26;;26;42
01.01.2017 08:00;23;29;;24;44
01.01.2017 09:00;22;26;;25;46
01.01.2017 10:00;26;39;;27;50
01.01.2017 11:00;30;33;;31;53
01.01.2017 12:00;37;28;;37;53
01.01.2017 13:00;38;41;;38;52
01.01.2017 14:00;39;43;;36;48
01.01.2017 15:00;34;40;;30;44
01.01.2017 16:00;29;34;;26;41
01.01.2017 17:00;22;27;;23;40
01.01.2017 18:00;20;14;;22;37
01.01.2017 19:00;16;12;;17;35
01.01.2017 20:00;15;7;;15;31
01.01.2017 21:00;14;10;;15;29
01.01.2017 22:00;15;13;;15;24
01.01.2017 23:00;10;19;;14;21
02.01.2017 00:00;11;20;;11;32
02.01.2017 01:00;15;18;;10;21
02.01.2017 02:00;16;14;;13;13
02.01.2017 03:00;14;14;;11;12
02.01.2017 04:00;13;13;;8;12
02.01.2017 05:00;12;13;;8;11
02.01.2017 06:00;10;13;;7;10
02.01.2017 07:00;11;14;;7;12
02.01.2017 08:00;12;16;;6;14
02.01.2017 09:00;14;18;;7;16
02.01.2017 10:00;18;21;;8;20
02.01.2017 11:00;20;25;;7;23
02.01.2017 12:00;28;32;;18;30
02.01.2017 13:00;31;34;;17;35
02.01.2017 14:00;34;39;;31;46
02.01.2017 15:00;39;46;;43;49
02.01.2017 16:00;40;51;;45;50
02.01.2017 17:00;35;44;;39;39
02.01.2017 18:00;20;36;;30;25
02.01.2017 19:00;25;35;;25;16
02.01.2017 20:00;31;34;;7;14
02.01.2017 21:00;30;36;;6;23
02.01.2017 22:00;20;33;;18;24
02.01.2017 23:00;23;34;;20;21
03.01.2017 00:00;28;32;;18;27
03.01.2017 01:00;31;33;;21;31
03.01.2017 02:00;38;39;;27;39
03.01.2017 03:00;48;47;;37;45
03.01.2017 04:00;50;50;;44;45
03.01.2017 05:00;54;54;;46;50
03.01.2017 06:00;58;57;;49;53
03.01.2017 07:00;54;54;;47;52
03.01.2017 08:00;51;53;;44;49
03.01.2017 09:00;50;55;;44;51
03.01.2017 10:00;51;55;;46;54
03.01.2017 11:00;52;53;;45;56
03.01.2017 12:00;54;54;;47;58
03.01.2017 13:00;53;54;;49;57
03.01.2017 14:00;51;52;;47;54
03.01.2017 15:00;51;52;;46;53
03.01.2017 16:00;51;54;;43;52
03.01.2017 17:00;50;50;;44;51
03.01.2017 18:00;53;50;;46;51
03.01.2017 19:00;51;51;;50;51
03.01.2017 20:00;45;43;;46;46
03.01.2017 21:00;44;39;;44;38
03.01.2017 22:00;37;34;;38;35
03.01.2017 23:00;35;32;;33;35
04.01.2017 00:00;35;33;;32;35
04.01.2017 01:00;37;34;;34;36
04.01.2017 02:00;38;37;;35;40
04.01.2017 03:00;44;44;;43;65
04.01.2017 04:00;81;80;;79;79
04.01.2017 05:00;82;80;;75;76
04.01.2017 06:00;82;81;;76;75
04.01.2017 07:00;78;78;;73;74
04.01.2017 08:00;75;77;;68;73
04.01.2017 09:00;77;77;;68;70
04.01.2017 10:00;77;76;;70;72
04.01.2017 11:00;75;74;;69;73
04.01.2017 12:00;75;75;;67;72
04.01.2017 13:00;76;75;;67;72
04.01.2017 14:00;75;74;;64;72
04.01.2017 15:00;67;73;;60;67
04.01.2017 16:00;62;67;;57;60
04.01.2017 17:00;56;61;;52;57
04.01.2017 18:00;57;58;;57;61
04.01.2017 19:00;53;57;;55;64
04.01.2017 20:00;47;56;;61;56
04.01.2017 21:00;51;60;;58;55
04.01.2017 22:00;54;62;;58;58
04.01.2017 23:00;55;61;;63;58
05.01.2017 00:00;59;58;;60;57
05.01.2017 01:00;47;54;;57;55
05.01.2017 02:00;57;56;;58;59
05.01.2017 03:00;57;59;;60;59
05.01.2017 04:00;59;61;;57;60
05.01.2017 05:00;58;59;;61;58
05.01.2017 06:00;55;60;;60;58
05.01.2017 07:00;50;58;;60;56
05.01.2017 08:00;44;57;;58;56
05.01.2017 09:00;43;58;;63;54
05.01.2017 10:00;47;59;;66;61
05.01.2017 11:00;58;61;;68;
05.01.2017 12:00;63;66;;67;
05.01.2017 13:00;69;66;;68;
05.01.2017 14:00;70;69;;70;71
05.01.2017 15:00;69;66;;71;72
05.01.2017 16:00;68;66;;70;70
05.01.2017 17:00;59;68;;69;68
05.01.2017 18:00;58;66;;62;65
05.01.2017 19:00;56;67;;62;64
05.01.2017 20:00;55;64;;63;63
05.01.2017 21:00;51;63;;61;60
05.01.2017 22:00;53;62;;61;58
05.01.2017 23:00;54;61;;60;59
06.01.2017 00:00;54;59;;65;59
06.01.2017 01:00;55;55;;64;57
06.01.2017 02:00;54;49;;63;58
06.01.2017 03:00;53;49;;58;61
06.01.2017 04:00;31;47;;61;61
06.01.2017 05:00;25;45;;60;59
06.01.2017 06:00;23;41;;53;50
06.01.2017 07:00;29;45;;40;43
06.01.2017 08:00;7;42;;36;38
06.01.2017 09:00;6;36;;28;33
06.01.2017 10:00;17;34;;24;28
06.01.2017 11:00;31;39;;42;42
06.01.2017 12:00;34;43;;51;55
06.01.2017 13:00;36;47;;54;63
06.01.2017 14:00;41;49;;58;56
06.01.2017 15:00;49;51;;62;53
06.01.2017 16:00;46;53;;45;47
06.01.2017 17:00;39;55;;28;38
06.01.2017 18:00;41;50;;20;29
06.01.2017 19:00;30;46;;10;37
