Station;088 Messwagen Leipziger Str.
Messkomponente;Ozon
Einheit;µg/m³
Messzeit;Stundenwerte

04.12.2017 16:00;36
04.12.2017 17:00;30
04.12.2017 18:00;31
04.12.2017 19:00;26
04.12.2017 20:00;17
04.12.2017 21:00;27
04.12.2017 22:00;33
04.12.2017 23:00;34
05.12.2017 00:00;32
05.12.2017 01:00;36
05.12.2017 02:00;41
05.12.2017 03:00;43
05.12.2017 04:00;45
05.12.2017 05:00;31
05.12.2017 06:00;20
05.12.2017 07:00;18
05.12.2017 08:00;14
05.12.2017 09:00;16
05.12.2017 10:00;22
05.12.2017 11:00;25
05.12.2017 12:00;32
05.12.2017 13:00;33
05.12.2017 14:00;25
05.12.2017 15:00;24
05.12.2017 16:00;24
05.12.2017 17:00;22
05.12.2017 18:00;24
05.12.2017 19:00;26
05.12.2017 20:00;25
05.12.2017 21:00;26
05.12.2017 22:00;30
05.12.2017 23:00;30
06.12.2017 00:00;32
06.12.2017 01:00;36
06.12.2017 02:00;46
06.12.2017 03:00;52
06.12.2017 04:00;46
06.12.2017 05:00;48
06.12.2017 06:00;42
06.12.2017 07:00;28
06.12.2017 08:00;28
06.12.2017 09:00;23
06.12.2017 10:00;20
06.12.2017 11:00;23
06.12.2017 12:00;25
06.12.2017 13:00;28
06.12.2017 14:00;28
06.12.2017 15:00;28
06.12.2017 16:00;34
06.12.2017 17:00;31
06.12.2017 18:00;30
06.12.2017 19:00;33
06.12.2017 20:00;35
06.12.2017 21:00;37
06.12.2017 22:00;45
06.12.2017 23:00;44
07.12.2017 00:00;52
07.12.2017 01:00;53
07.12.2017 02:00;56
07.12.2017 03:00;58
07.12.2017 04:00;61
07.12.2017 05:00;59
07.12.2017 06:00;42
07.12.2017 07:00;27
07.12.2017 08:00;15
07.12.2017 09:00;17
07.12.2017 10:00;31
07.12.2017 11:00;38
07.12.2017 12:00;
07.12.2017 13:00;
07.12.2017 14:00;
07.12.2017 15:00;
07.12.2017 16:00;
07.12.2017 17:00;13
07.12.2017 18:00;16
07.12.2017 19:00;20
07.12.2017 20:00;28
07.12.2017 21:00;33
07.12.2017 22:00;36
07.12.2017 23:00;34
08.12.2017 00:00;39
08.12.2017 01:00;40
08.12.2017 02:00;41
08.12.2017 03:00;42
08.12.2017 04:00;41
08.12.2017 05:00;39
08.12.2017 06:00;31
08.12.2017 07:00;21
08.12.2017 08:00;16
08.12.2017 09:00;17
08.12.2017 10:00;17
08.12.2017 11:00;24
08.12.2017 12:00;35
08.12.2017 13:00;36
08.12.2017 14:00;33
08.12.2017 15:00;34
08.12.2017 16:00;29
08.12.2017 17:00;30
08.12.2017 18:00;33
08.12.2017 19:00;35
08.12.2017 20:00;34
08.12.2017 21:00;26
08.12.2017 22:00;36
08.12.2017 23:00;37
09.12.2017 00:00;45
09.12.2017 01:00;41
09.12.2017 02:00;39
09.12.2017 03:00;36
09.12.2017 04:00;39
09.12.2017 05:00;44
09.12.2017 06:00;42
09.12.2017 07:00;32
09.12.2017 08:00;22
09.12.2017 09:00;33
09.12.2017 10:00;42
09.12.2017 11:00;41
09.12.2017 12:00;37
09.12.2017 13:00;29
09.12.2017 14:00;27
09.12.2017 15:00;29
09.12.2017 16:00;28
09.12.2017 17:00;29
09.12.2017 18:00;27
09.12.2017 19:00;26
09.12.2017 20:00;33
09.12.2017 21:00;29
09.12.2017 22:00;29
09.12.2017 23:00;27
10.12.2017 00:00;21
10.12.2017 01:00;21
10.12.2017 02:00;25
10.12.2017 03:00;26
10.12.2017 04:00;33
10.12.2017 05:00;38
10.12.2017 06:00;45
10.12.2017 07:00;47
10.12.2017 08:00;42
10.12.2017 09:00;37
10.12.2017 10:00;33
10.12.2017 11:00;36
10.12.2017 12:00;41
10.12.2017 13:00;36
10.12.2017 14:00;35
10.12.2017 15:00;34
10.12.2017 16:00;28
10.12.2017 17:00;30
10.12.2017 18:00;31
10.12.2017 19:00;31
10.12.2017 20:00;28
10.12.2017 21:00;36
10.12.2017 22:00;36
10.12.2017 23:00;36
11.12.2017 00:00;29
