Station;032 Grunewald;077 Buch;085 Friedrichshagen
Messkomponente;Feinstaub (PM10);Feinstaub (PM10);Feinstaub (PM10)
Einheit;µg/m³;µg/m³;µg/m³
Messzeit;Stundenwerte;Stundenwerte;Stundenwerte

01.01.2017 00:00;23;46;23
01.01.2017 01:00;30;94;35
01.01.2017 02:00;64;157;43
01.01.2017 03:00;44;80;30
01.01.2017 04:00;24;44;30
01.01.2017 05:00;20;29;28
01.01.2017 06:00;20;21;29
01.01.2017 07:00;25;24;28
01.01.2017 08:00;30;27;30
01.01.2017 09:00;28;26;30
01.01.2017 10:00;22;25;28
01.01.2017 11:00;21;18;26
01.01.2017 12:00;18;16;23
01.01.2017 13:00;16;16;23
01.01.2017 14:00;15;16;20
01.01.2017 15:00;15;17;22
01.01.2017 16:00;16;18;22
01.01.2017 17:00;17;18;23
01.01.2017 18:00;19;22;23
01.01.2017 19:00;20;23;24
01.01.2017 20:00;22;23;24
01.01.2017 21:00;24;24;24
01.01.2017 22:00;24;26;24
01.01.2017 23:00;24;24;25
02.01.2017 00:00;26;23;24
02.01.2017 01:00;27;28;25
02.01.2017 02:00;29;32;29
02.01.2017 03:00;30;32;30
02.01.2017 04:00;29;30;29
02.01.2017 05:00;26;27;27
02.01.2017 06:00;23;25;24
02.01.2017 07:00;22;25;22
02.01.2017 08:00;22;24;23
02.01.2017 09:00;21;21;21
02.01.2017 10:00;19;22;21
02.01.2017 11:00;17;20;19
02.01.2017 12:00;17;19;17
02.01.2017 13:00;16;15;17
02.01.2017 14:00;14;12;15
02.01.2017 15:00;10;6;10
02.01.2017 16:00;7;5;7
02.01.2017 17:00;7;5;7
02.01.2017 18:00;7;5;8
02.01.2017 19:00;9;6;10
02.01.2017 20:00;10;9;13
02.01.2017 21:00;10;11;14
02.01.2017 22:00;12;12;13
02.01.2017 23:00;13;12;14
03.01.2017 00:00;16;14;14
03.01.2017 01:00;18;18;16
03.01.2017 02:00;17;17;17
03.01.2017 03:00;15;13;16
03.01.2017 04:00;13;13;14
03.01.2017 05:00;10;13;13
03.01.2017 06:00;8;11;10
03.01.2017 07:00;8;10;9
03.01.2017 08:00;8;11;8
03.01.2017 09:00;8;9;8
03.01.2017 10:00;8;8;8
03.01.2017 11:00;12;8;11
03.01.2017 12:00;14;9;13
03.01.2017 13:00;14;15;14
03.01.2017 14:00;12;15;13
03.01.2017 15:00;10;13;10
03.01.2017 16:00;9;10;9
03.01.2017 17:00;11;10;9
03.01.2017 18:00;13;12;11
03.01.2017 19:00;13;12;14
03.01.2017 20:00;15;13;14
03.01.2017 21:00;13;17;11
03.01.2017 22:00;13;15;10
03.01.2017 23:00;13;14;11
04.01.2017 00:00;13;12;12
04.01.2017 01:00;13;11;11
04.01.2017 02:00;11;9;10
04.01.2017 03:00;7;5;8
04.01.2017 04:00;5;6;4
04.01.2017 05:00;7;7;6
04.01.2017 06:00;9;9;8
04.01.2017 07:00;9;11;11
04.01.2017 08:00;12;11;11
04.01.2017 09:00;10;12;11
04.01.2017 10:00;9;10;9
04.01.2017 11:00;8;10;9
04.01.2017 12:00;11;11;10
04.01.2017 13:00;7;10;9
04.01.2017 14:00;7;6;6
04.01.2017 15:00;4;6;6
04.01.2017 16:00;6;6;6
04.01.2017 17:00;5;5;6
04.01.2017 18:00;5;4;4
04.01.2017 19:00;5;4;5
04.01.2017 20:00;5;4;4
04.01.2017 21:00;5;4;5
04.01.2017 22:00;4;6;5
04.01.2017 23:00;4;5;5
05.01.2017 00:00;5;5;4
05.01.2017 01:00;5;5;4
05.01.2017 02:00;5;5;4
05.01.2017 03:00;5;5;4
05.01.2017 04:00;5;5;4
05.01.2017 05:00;5;5;4
05.01.2017 06:00;5;5;4
05.01.2017 07:00;5;5;5
05.01.2017 08:00;5;5;4
05.01.2017 09:00;5;5;4
05.01.2017 10:00;5;5;3
05.01.2017 11:00;5;5;4
05.01.2017 12:00;5;5;4
05.01.2017 13:00;4;4;5
05.01.2017 14:00;4;4;5
05.01.2017 15:00;4;5;4
05.01.2017 16:00;6;12;4
05.01.2017 17:00;5;5;4
05.01.2017 18:00;5;5;5
05.01.2017 19:00;5;5;6
05.01.2017 20:00;5;6;6
05.01.2017 21:00;5;5;7
05.01.2017 22:00;6;5;7
05.01.2017 23:00;6;6;6
06.01.2017 00:00;5;6;5
06.01.2017 01:00;5;5;5
06.01.2017 02:00;6;5;5
06.01.2017 03:00;6;4;5
06.01.2017 04:00;6;4;4
06.01.2017 05:00;7;4;4
06.01.2017 06:00;6;4;4
06.01.2017 07:00;5;5;5
06.01.2017 08:00;5;5;6
06.01.2017 09:00;5;6;6
06.01.2017 10:00;6;10;9
06.01.2017 11:00;6;7;8
06.01.2017 12:00;7;6;7
06.01.2017 13:00;7;6;7
06.01.2017 14:00;8;6;6
06.01.2017 15:00;8;6;6
06.01.2017 16:00;8;7;6
06.01.2017 17:00;7;10;10
06.01.2017 18:00;7;14;10
06.01.2017 19:00;7;15;13
06.01.2017 20:00;8;17;13
06.01.2017 21:00;8;16;21
06.01.2017 22:00;9;16;24
06.01.2017 23:00;9;18;23
07.01.2017 00:00;17;23;22
07.01.2017 01:00;22;25;17
07.01.2017 02:00;17;24;15
07.01.2017 03:00;13;19;13
07.01.2017 04:00;15;14;14
07.01.2017 05:00;13;10;13
07.01.2017 06:00;14;10;12
07.01.2017 07:00;15;12;12
07.01.2017 08:00;16;14;13
07.01.2017 09:00;15;16;14
07.01.2017 10:00;15;18;15
07.01.2017 11:00;14;19;15
07.01.2017 12:00;13;20;13
07.01.2017 13:00;12;19;13
07.01.2017 14:00;15;19;12
07.01.2017 15:00;12;18;22
07.01.2017 16:00;13;17;16
07.01.2017 17:00;14;18;14
07.01.2017 18:00;13;17;16
07.01.2017 19:00;15;18;15
07.01.2017 20:00;19;19;14
07.01.2017 21:00;20;23;16
07.01.2017 22:00;20;27;17
07.01.2017 23:00;21;29;18
08.01.2017 00:00;21;27;21
08.01.2017 01:00;22;26;22
08.01.2017 02:00;23;28;24
08.01.2017 03:00;25;29;24
08.01.2017 04:00;26;32;25
08.01.2017 05:00;26;33;23
08.01.2017 06:00;24;34;23
08.01.2017 07:00;24;35;22
08.01.2017 08:00;24;33;25
08.01.2017 09:00;28;29;28
